time,cosFM.phi,sinFM.phi,cosAM.phi,sinAM.phi,sine.phi
0,0,0,0,0,0
0.0001,0.06285159228,0.06285159228,0.06283185307,0.06283185307,0.06283185307
0.0002,0.1257426629,0.1257426629,0.1256637061,0.1256637061,0.1256637061
0.0003,0.1886732119,0.1886732119,0.1884955592,0.1884955592,0.1884955592
0.0004,0.251643239,0.251643239,0.2513274123,0.2513274123,0.2513274123
0.0005,0.314652744,0.314652744,0.3141592654,0.3141592654,0.3141592654
0.0006,0.3777017266,0.3777017266,0.3769911184,0.3769911184,0.3769911184
0.0007,0.4407901865,0.4407901865,0.4398229715,0.4398229715,0.4398229715
0.0008,0.5039181233,0.5039181233,0.5026548246,0.5026548246,0.5026548246
0.0009,0.5670855365,0.5670855365,0.5654866776,0.5654866776,0.5654866776
0.001,0.6302924256,0.6302924256,0.6283185307,0.6283185307,0.6283185307
0.0011,0.69353879,0.69353879,0.6911503838,0.6911503838,0.6911503838
0.0012,0.7568246289,0.7568246289,0.7539822369,0.7539822369,0.7539822369
0.0013,0.8201499418,0.8201499418,0.8168140899,0.8168140899,0.8168140899
0.0014,0.8835147278,0.8835147278,0.879645943,0.879645943,0.879645943
0.0015,0.9469189862,0.9469189862,0.9424777961,0.9424777961,0.9424777961
0.0016,1.010362716,1.010362716,1.005309649,1.005309649,1.005309649
0.0017,1.073845916,1.073845916,1.068141502,1.068141502,1.068141502
0.0018,1.137368586,1.137368586,1.130973355,1.130973355,1.130973355
0.0019,1.200930724,1.200930724,1.193805208,1.193805208,1.193805208
0.002,1.264532329,1.264532329,1.256637061,1.256637061,1.256637061
0.0021,1.3281734,1.3281734,1.319468915,1.319468915,1.319468915
0.0022,1.391853936,1.391853936,1.382300768,1.382300768,1.382300768
0.0023,1.455573935,1.455573935,1.445132621,1.445132621,1.445132621
0.0024,1.519333397,1.519333397,1.507964474,1.507964474,1.507964474
0.0025,1.583132318,1.583132318,1.570796327,1.570796327,1.570796327
0.0026,1.646970699,1.646970699,1.63362818,1.63362818,1.63362818
