time,C2.v,C1.v,L.i
0,0,4,0
1,0.02245820246,3.973330768,0.0006250081207
2,0.04463189909,3.948325168,0.002488932362
3,0.0665196767,3.924941473,0.005575073498
4,0.08812006344,3.903138525,0.009866663691
5,0.109431535,3.88287571,0.01534686239
6,0.1304525131,3.864112965,0.02199875661
7,0.1511813742,3.846810756,0.02980535568
8,0.1716164549,3.83093006,0.0387495879
9,0.1917560526,3.816432367,0.04881430048
10,0.2115984245,3.80327968,0.05998225904
11,0.2311418128,3.791434454,0.07223613932
12,0.2503844128,3.780859671,0.08555853529
13,0.2693244031,3.77151877,0.09993195075
14,0.2879599482,3.76337564,0.1153387989
15,0.3062891979,3.756394624,0.1317614024
16,0.3243102874,3.750540515,0.1491819931
17,0.3420213327,3.745778566,0.1675827112
18,0.3594204508,3.742074454,0.1869456063
19,0.3765057872,3.739394222,0.2072526419
20,0.3932754378,3.737704424,0.2284856777
21,0.4097275151,3.736972004,0.2506264837
22,0.4258601476,3.737164299,0.273656741
23,0.4416714805,3.738249035,0.2975580414
24,0.4571596752,3.74019433,0.3223118873
25,0.4723229094,3.742968693,0.3478996921
26,0.4871593772,3.746541023,0.3743027797
27,0.5016672892,3.750880612,0.4015023851
28,0.5158448505,3.755957166,0.4294796298
29,0.5296903569,3.761740686,0.4582156107
30,0.5432021505,3.76820152,0.4876913581
31,0.5563785316,3.775310469,0.5178877415
32,0.5692178504,3.78303868,0.5487855655
33,0.5817185066,3.791357641,0.5803655698
34,0.5938789501,3.800239185,0.6126084295
35,0.6056976801,3.809655489,0.6454947547
36,0.6171732457,3.819579072,0.6790050906
37,0.628304246,3.829982798,0.7131199176
38,0.6390893296,3.840839875,0.7478196515
39,0.6495271949,3.852123855,0.783084643
40,0.6596165901,3.863808632,0.8188951779
41,0.6693563131,3.875868446,0.8552314774
42,0.678745179,3.888277892,0.8920736077
43,0.687782151,3.901011851,0.929401794
44,0.6964662953,3.914045508,0.9671963203
45,0.7047966347,3.927354435,1.005437142
46,0.712772271,3.940914521,1.044104207
47,0.7203923852,3.95470198,1.083177456
48,0.7276562374,3.968693344,1.122636823
49,0.7345631669,3.982865469,1.162462233
50,0.7411125918,3.997195529,1.202633606
51,0.7473040095,4.011661024,1.243130853
52,0.7531369966,4.02623977,1.283933879
53,0.7586112087,4.040909909,1.325022582
54,0.7637263804,4.055649902,1.36637685
55,0.7684823255,4.070438532,1.407976567
56,0.7728789369,4.085254901,1.449801608
57,0.7769161866,4.100078436,1.491831841
58,0.7805941257,4.114888884,1.534047128
59,0.783912862,4.129666295,1.576427111
60,0.786872649,4.144391063,1.618951864
61,0.7894738754,4.159043925,1.661601905
62,0.7917169368,4.173605887,1.704357059
63,0.7936023249,4.188058278,1.747197237
64,0.7951306282,4.20238275,1.790102433
65,0.7963025315,4.216561275,1.833052729
66,0.797118816,4.230576151,1.876028291
67,0.7975803596,4.244409995,1.91900937
68,0.7976881363,4.258045749,1.961976302
69,0.7974432168,4.271466676,2.004909511
70,0.7968467682,4.284656361,2.047789502
71,0.7959000539,4.297598714,2.09059687
72,0.7946044341,4.310277965,2.133312291
73,0.7929613652,4.322678667,2.175916529
74,0.7909724,4.334785696,2.218390433
75,0.7886391879,4.346584249,2.260714937
76,0.7859634747,4.358059848,2.30287106
77,0.7829471026,4.369198335,2.344839906
78,0.7795920104,4.379985875,2.386602667
79,0.7759002601,4.390408943,2.428140347
80,0.7718740117,4.40045436,2.469434284
81,0.7675153854,4.410109337,2.510467392
82,0.7628267424,4.419361337,2.551221195
83,0.7578105378,4.428198151,2.591677419
84,0.7524693196,4.436607904,2.631817989
85,0.7468057297,4.444579048,2.671625034
86,0.7408225034,4.452100368,2.711080882
87,0.7345224692,4.459160979,2.750168061
88,0.7279085494,4.465750327,2.788869301
89,0.7209837594,4.471858189,2.827167533
90,0.7137512085,4.477474673,2.865045888
91,0.706214099,4.482590215,2.902487698
92,0.698375727,4.487195585,2.939476497
93,0.6902394818,4.491281883,2.975996018
94,0.6818088464,4.494840539,3.012030195
95,0.6730873972,4.497863313,3.047563166
96,0.6640788039,4.500342298,3.082579265
97,0.6547868297,4.502269916,3.117063031
98,0.6452153316,4.50363892,3.1509992
99,0.6353682595,4.504442394,3.184372713
100,0.6252496572,4.504673753,3.217168708
101,0.6148636618,4.504326741,3.249372527
102,0.6042145039,4.503395436,3.28096971
103,0.5933069664,4.501874588,3.311944985
104,0.5821445763,4.499758348,3.34228664
105,0.5707318777,4.497041834,3.3719809
106,0.5590735056,4.493720501,3.401014229
107,0.5471741586,4.489790123,3.429373401
108,0.5350385988,4.485246788,3.457045501
109,0.5226716521,4.480086903,3.484017918
110,0.5100782077,4.474307191,3.510278352
111,0.4972632183,4.467904693,3.535814812
112,0.4842317003,4.460876767,3.560615614
113,0.4709887336,4.453221085,3.584669384
114,0.4575394616,4.444935641,3.607965055
115,0.4438890914,4.436018743,3.63049187
116,0.4300428935,4.426469016,3.652239379
117,0.4160062019,4.416285403,3.673197443
118,0.4017844142,4.405467163,3.693356228
119,0.3873829917,4.394013874,3.712706211
120,0.372807459,4.381925428,3.731238178
121,0.3580634045,4.369202037,3.748943221
122,0.3431564798,4.355844228,3.765812743
123,0.3280924004,4.341852846,3.781838455
124,0.3128769452,4.327229052,3.797012374
125,0.2975159566,4.311974326,3.811326829
126,0.2820153405,4.296090463,3.824774456
127,0.2663810666,4.279579576,3.8373482
128,0.2506191679,4.262444095,3.849041313
129,0.2347361558,4.244687356,3.859847198
130,0.2187377007,4.226311806,3.869760098
131,0.2026292684,4.20731982,3.878774675
132,0.1864171599,4.18771518,3.886885582
133,0.1701076864,4.167501921,3.894087831
134,0.1537071688,4.146684328,3.900376793
135,0.137221938,4.125266943,3.905748199
136,0.1206583347,4.103254558,3.910198138
137,0.1040227096,4.08065222,3.913723059
138,0.08732142325,4.057465228,3.91631977
139,0.0705608461,4.033699134,3.917985438
140,0.05374735848,4.009359743,3.918717589
141,0.03688735063,3.984453114,3.918514108
142,0.01998722269,3.958985556,3.91737324
143,0.003053384681,3.932963636,3.915293588
144,-0.01390774346,3.906394169,3.912274115
145,-0.03088973192,3.879284226,3.908314144
146,-0.04788614097,3.851641129,3.903413354
147,-0.06489052101,3.823472456,3.897571787
148,-0.08189641252,3.794786035,3.890789841
149,-0.0988973461,3.765589949,3.883068276
150,-0.1158868425,3.735892531,3.874408208
151,-0.1328584124,3.705702372,3.864811115
152,-0.1498055568,3.675028311,3.854278832
153,-0.1667217666,3.643879442,3.842813555
154,-0.1836005231,3.612265114,3.830417838
155,-0.2004352974,3.580194925,3.817094594
156,-0.2172195323,3.54767877,3.802847117
157,-0.2339460308,3.514728213,3.787679855
158,-0.2506098656,3.481350194,3.771595207
159,-0.2672044732,3.447555406,3.754597698
160,-0.2837233416,3.41335468,3.736692172
161,-0.3001600102,3.37875898,3.717883795
162,-0.3165080699,3.343779408,3.698178052
163,-0.3327611631,3.3084272,3.677580752
164,-0.3489129836,3.272713729,3.65609802
165,-0.3649572767,3.236650504,3.633736304
166,-0.3808878391,3.20024917,3.610502375
167,-0.3966985191,3.163521507,3.586403319
168,-0.4123832164,3.12647943,3.561446549
169,-0.4279358821,3.089134993,3.535639793
170,-0.4433505188,3.051500382,3.508991103
171,-0.4586211805,3.013587922,3.481508852
172,-0.4737419729,2.975410073,3.45320173
173,-0.4887070529,2.93697943,3.424078752
174,-0.503510629,2.898308724,3.394149251
175,-0.5181469612,2.859410822,3.363422881
176,-0.5326103607,2.820298728,3.331909618
177,-0.5468951905,2.78098558,3.299619756
178,-0.5609958649,2.741484653,3.266563912
179,-0.5749068497,2.701809357,3.232753023
180,-0.5886226621,2.66197324,3.198198347
181,-0.6021378709,2.621989983,3.162911461
182,-0.6154470961,2.581873405,3.126904264
183,-0.6285450096,2.541637459,3.090188976
184,-0.6414256778,2.501298659,3.052780603
185,-0.6540848739,2.460867857,3.014688784
186,-0.6665180323,2.420357382,2.975924782
187,-0.6787200623,2.379781806,2.936502309
188,-0.6906859781,2.339155679,2.896435263
189,-0.702410899,2.298493525,2.855737727
190,-0.7138900493,2.257809845,2.814423964
191,-0.7251187582,2.217119116,2.772508424
192,-0.7360924602,2.176435791,2.730005742
193,-0.7468066946,2.135774299,2.686930733
194,-0.7572571059,2.095149044,2.643298399
195,-0.7674394433,2.054574409,2.599123924
196,-0.7773495615,2.014064748,2.554422678
197,-0.7869834198,1.973634397,2.509210214
198,-0.7963370828,1.933297662,2.463502267
199,-0.8054067199,1.89306883,2.41731476
200,-0.8141886059,1.852962161,2.370663795
201,-0.8226791201,1.812991892,2.323565662
202,-0.8308747473,1.773172236,2.276036832
203,-0.8387720771,1.733517382,2.228093963
204,-0.846367804,1.694041495,2.179753894
205,-0.853658728,1.654758716,2.131033649
206,-0.8606417535,1.615683162,2.081950436
207,-0.8673138904,1.576828925,2.032521647
208,-0.8736722534,1.538210075,1.982764858
209,-0.8797140624,1.499840657,1.932697829
210,-0.885436642,1.461734691,1.882338503
211,-0.8908374223,1.423906175,1.831705007
212,-0.895913938,1.386369081,1.780815653
213,-0.900663829,1.349137359,1.729688936
214,-0.9050848403,1.312224933,1.678343536
215,-0.9091747823,1.275645668,1.626798159
216,-0.9129317897,1.23941253,1.575070768
217,-0.9163541164,1.203538692,1.523179924
218,-0.9194400492,1.168037411,1.471144379
219,-0.9221879985,1.132921824,1.418982957
220,-0.9245964985,1.098204951,1.366714552
221,-0.9266642066,1.06389969,1.314358127
222,-0.9283898901,1.030038631,1.26193271
223,-0.9297723762,0.9965327868,1.209457381
224,-0.9308127805,0.9627977143,1.156951212
225,-0.9315155132,0.9283965496,1.104433117
226,-0.931886407,0.8932957565,1.051921711
227,-0.9319314081,0.8575005933,0.9994352401
228,-0.9316565677,0.8210158845,0.9469915728
229,-0.9310680945,0.7838463826,0.894608313
230,-0.9301722994,0.745996528,0.8423026822
231,-0.9289755954,0.7074704489,0.7900915202
232,-0.9274844977,0.6682719612,0.7379912851
233,-0.9257056238,0.6284045687,0.6860180532
234,-0.9236456933,0.5878714632,0.6341875188
235,-0.921311528,0.546675524,0.5825149946
236,-0.9187100519,0.5048193186,0.5310154115
237,-0.915848291,0.4623051018,0.4797033185
238,-0.9127333782,0.4191348504,0.4285928885
239,-0.9093724588,0.3753097591,0.3776977481
240,-0.9057728399,0.3308310444,0.3270312447
241,-0.9019419034,0.2856994747,0.2766062928
242,-0.8978871055,0.2399153639,0.2264353723
243,-0.8936159764,0.1934785716,0.176530528
244,-0.8891361204,0.1463885025,0.1269033702
245,-0.8844552158,0.0986441074,0.07756507442
246,-0.879581015,0.05024388212,0.02852638116
247,-0.8745213444,0.001185868245,-0.02020240367
248,-0.8692841046,-0.04853234715,-0.068611409
249,-0.863877278,-0.09891355914,-0.1166911857
250,-0.8583088974,-0.1499611848,-0.1644327588
251,-0.8525870074,-0.2016796161,-0.2118276912
252,-0.846719783,-0.2540731613,-0.2588678898
253,-0.8407154493,-0.3071467632,-0.3055457359
254,-0.8345822818,-0.3609059989,-0.3518540856
255,-0.8283286058,-0.4153570796,-0.3977862697
256,-0.8219627973,-0.4705068511,-0.4433360938
257,-0.8154932823,-0.5263627933,-0.4884978379
258,-0.8089285368,-0.5829330206,-0.533266257
259,-0.8022770873,-0.6402262817,-0.5776365807
260,-0.7955475104,-0.6982519593,-0.6216045132
261,-0.7887484328,-0.7570200709,-0.6651662334
262,-0.7818885317,-0.816541268,-0.708318395
263,-0.774976408,-0.8768061193,-0.751058121
264,-0.7680216259,-0.9380350726,-0.7933830721
265,-0.7610325834,-0.999718009,-0.8352914616
266,-0.7540136513,-1.061049439,-0.8767817352
267,-0.7469655957,-1.12131135,-0.9178525479
268,-0.7398855461,-1.180220365,-0.9585025883
269,-0.7327703358,-1.237820163,-0.9987302464
270,-0.7256170584,-1.294128944,-1.038533782
271,-0.718422947,-1.349164442,-1.077911283
272,-0.7111853868,-1.402943832,-1.116860612
273,-0.7039018097,-1.455484518,-1.155379859
274,-0.6965698686,-1.506802825,-1.193466591
275,-0.6891873364,-1.556914767,-1.231118288
276,-0.6817521053,-1.605836044,-1.268332347
277,-0.6742621875,-1.653582045,-1.305106077
278,-0.6667157145,-1.700167846,-1.341436703
279,-0.6591109379,-1.745608214,-1.377321365
280,-0.6514462288,-1.7899176,-1.412757115
281,-0.6437200779,-1.833110145,-1.447740922
282,-0.6359310957,-1.87519968,-1.482269669
283,-0.6280780123,-1.91619972,-1.516340153
284,-0.6201596775,-1.95612347,-1.549949085
285,-0.612175061,-1.994983824,-1.583093092
286,-0.6041232722,-2.032793251,-1.615768641
287,-0.5960034288,-2.069564583,-1.647972538
288,-0.5878148229,-2.105310041,-1.679701305
289,-0.5795568704,-2.140041517,-1.710951368
290,-0.5712290846,-2.173770736,-1.741719155
291,-0.5628310765,-2.206509251,-1.772001092
292,-0.5543625542,-2.238268443,-1.801793611
293,-0.5458233233,-2.269059525,-1.831093143
294,-0.5372132868,-2.298893537,-1.859896121
295,-0.5285324452,-2.327781351,-1.88819898
296,-0.5197808961,-2.355733665,-1.915998157
297,-0.5109588348,-2.38276101,-1.94329009
298,-0.502066554,-2.408873743,-1.970071219
299,-0.4931044435,-2.434082053,-1.996337984
300,-0.4840730385,-2.458395795,-2.022086703
301,-0.4749728793,-2.481825009,-2.047313959
302,-0.4658044807,-2.504380005,-2.072016669
303,-0.4565686252,-2.526070345,-2.096191304
304,-0.4472661665,-2.546905527,-2.119834414
305,-0.4378980298,-2.566894993,-2.142942633
306,-0.4284652112,-2.58604812,-2.165512672
307,-0.4189687784,-2.60437423,-2.187541325
308,-0.40940987,-2.621882579,-2.209025467
309,-0.3997896963,-2.638582368,-2.229962051
310,-0.3901095384,-2.654482733,-2.250348114
311,-0.3803707489,-2.669592754,-2.270180772
312,-0.3705747516,-2.683921447,-2.289457222
313,-0.3607230416,-2.69747777,-2.308174743
314,-0.3508171853,-2.710270619,-2.326330692
315,-0.3408588201,-2.722308831,-2.34392251
316,-0.3308496548,-2.733601183,-2.360947716
317,-0.3207914696,-2.74415639,-2.377403911
318,-0.3106861158,-2.753983107,-2.393288778
319,-0.3005355533,-2.763089871,-2.408600021
320,-0.2903418047,-2.771485215,-2.42333547
321,-0.2801065998,-2.779178237,-2.437493616
322,-0.2698320685,-2.786177451,-2.451072527
323,-0.2595203807,-2.792491375,-2.464070412
324,-0.2491737461,-2.79812854,-2.476485622
325,-0.2387944139,-2.803097484,-2.488316649
326,-0.228384673,-2.807406756,-2.499562125
327,-0.2179468522,-2.811064913,-2.510220825
328,-0.20748332,-2.814080521,-2.520291664
329,-0.1969964845,-2.816462155,-2.529773698
330,-0.1864887936,-2.8182184,-2.538666123
331,-0.1759627348,-2.819357849,-2.546968278
332,-0.1654208355,-2.819889104,-2.554679643
333,-0.1548656627,-2.819820779,-2.561799837
334,-0.1442998232,-2.819161492,-2.568328622
335,-0.1337259634,-2.817919875,-2.574265901
336,-0.1231467695,-2.816104565,-2.579611717
337,-0.1125649675,-2.813724213,-2.584366255
338,-0.101983323,-2.810787474,-2.58852984
339,-0.09140464125,-2.807303014,-2.59210294
340,-0.08083187341,-2.8032795,-2.595086129
341,-0.07026779516,-2.798725684,-2.597480243
342,-0.05971498754,-2.793650377,-2.599286347
343,-0.04917640457,-2.788062363,-2.600505543
344,-0.03865500569,-2.781970456,-2.601139098
345,-0.02815375573,-2.775383498,-2.601188446
346,-0.01767562493,-2.768310359,-2.600655187
347,-0.007223588954,-2.76075994,-2.599541085
348,0.003199371146,-2.752741169,-2.597848072
349,0.0135902689,-2.744263004,-2.595578246
350,0.02394611244,-2.735334431,-2.592733869
351,0.03426390449,-2.725964467,-2.589317371
352,0.04454064235,-2.716162156,-2.585331346
353,0.05477331793,-2.705936571,-2.580778558
