time,cuboidLeft.Phi.re,cuboidLeft.Phi.im,source.port_p.reference.gamma
0,0,0,0
0.001,4.787188808e-14,0,0.3141592654
0.002,9.574377616e-14,0,0.6283185307
0.003,1.436156642e-13,0,0.9424777961
0.004,1.914875523e-13,0,1.256637061
0.005,2.393594404e-13,0,1.570796327
0.006,2.872313285e-13,0,1.884955592
0.007,3.351032166e-13,0,2.199114858
0.008,3.829751046e-13,0,2.513274123
0.009,4.308469927e-13,0,2.827433388
0.01,4.787188808e-13,0,3.141592654
0.011,5.265907689e-13,0,3.455751919
0.012,5.74462657e-13,0,3.769911184
0.013,6.22334545e-13,0,4.08407045
0.014,6.702064331e-13,0,4.398229715
0.015,7.180783212e-13,0,4.71238898
0.016,7.659502093e-13,0,5.026548246
0.017,8.138220974e-13,0,5.340707511
0.018,8.616939855e-13,0,5.654866776
0.019,9.095658735e-13,0,5.969026042
0.02,9.574377616e-13,0,6.283185307
0.021,1.00530965e-12,0,6.597344573
0.022,1.053181538e-12,0,6.911503838
0.023,1.101053426e-12,0,7.225663103
0.024,1.148925314e-12,0,7.539822369
0.025,1.196797202e-12,0,7.853981634
0.026,1.24466909e-12,0,8.168140899
0.027,1.292540978e-12,0,8.482300165
0.028,1.340412866e-12,0,8.79645943
0.029,1.388284754e-12,0,9.110618695
0.03,1.436156642e-12,0,9.424777961
0.031,1.484028531e-12,0,9.738937226
0.032,1.531900419e-12,0,10.05309649
0.033,1.579772307e-12,0,10.36725576
0.034,1.627644195e-12,0,10.68141502
0.035,1.675516083e-12,0,10.99557429
0.036,1.723387971e-12,0,11.30973355
0.037,1.771259859e-12,0,11.62389282
0.038,1.819131747e-12,0,11.93805208
0.039,1.867003635e-12,0,12.25221135
0.04,1.914875523e-12,0,12.56637061
0.041,1.962747411e-12,0,12.88052988
0.042,2.010619299e-12,0,13.19468915
0.043,2.058491187e-12,0,13.50884841
0.044,2.106363076e-12,0,13.82300768
0.045,2.154234964e-12,0,14.13716694
0.046,2.202106852e-12,0,14.45132621
0.047,2.24997874e-12,0,14.76548547
0.048,2.297850628e-12,0,15.07964474
0.049,2.345722516e-12,0,15.393804
0.05,2.393594404e-12,0,15.70796327
0.051,2.441466292e-12,0,16.02212253
0.052,2.48933818e-12,0,16.3362818
0.053,2.537210068e-12,0,16.65044106
0.054,2.585081956e-12,0,16.96460033
0.055,2.632953844e-12,0,17.27875959
0.056,2.680825733e-12,0,17.59291886
0.057,2.728697621e-12,0,17.90707813
0.058,2.776569509e-12,0,18.22123739
0.059,2.824441397e-12,0,18.53539666
0.06,2.872313285e-12,0,18.84955592
0.061,2.920185173e-12,0,19.16371519
0.062,2.968057061e-12,0,19.47787445
0.063,3.015928949e-12,0,19.79203372
0.064,3.063800837e-12,0,20.10619298
0.065,3.111672725e-12,0,20.42035225
0.066,3.159544613e-12,0,20.73451151
0.067,3.207416501e-12,0,21.04867078
0.068,3.255288389e-12,0,21.36283004
0.069,3.303160278e-12,0,21.67698931
0.07,3.351032166e-12,0,21.99114858
0.071,3.398904054e-12,0,22.30530784
0.072,3.446775942e-12,0,22.61946711
0.073,3.49464783e-12,0,22.93362637
0.074,3.542519718e-12,0,23.24778564
0.075,3.590391606e-12,0,23.5619449
0.076,3.638263494e-12,0,23.87610417
0.077,3.686135382e-12,0,24.19026343
0.078,3.73400727e-12,0,24.5044227
0.079,3.781879158e-12,0,24.81858196
0.08,3.829751046e-12,0,25.13274123
0.081,3.877622935e-12,0,25.44690049
0.082,3.925494823e-12,0,25.76105976
0.083,3.973366711e-12,0,26.07521902
0.084,4.021238599e-12,0,26.38937829
0.085,4.069110487e-12,0,26.70353756
0.086,4.116982375e-12,0,27.01769682
0.087,4.164854263e-12,0,27.33185609
0.088,4.212726151e-12,0,27.64601535
0.089,4.260598039e-12,0,27.96017462
0.09,4.308469927e-12,0,28.27433388
0.091,4.356341815e-12,0,28.58849315
0.092,4.404213703e-12,0,28.90265241
0.093,4.452085592e-12,0,29.21681168
0.094,4.49995748e-12,0,29.53097094
0.095,4.547829368e-12,0,29.84513021
0.096,4.595701256e-12,0,30.15928947
0.097,4.643573144e-12,0,30.47344874
0.098,4.691445032e-12,0,30.78760801
0.099,4.73931692e-12,0,31.10176727
0.1,4.787188808e-12,0,31.41592654
0.101,4.835060696e-12,0,31.7300858
0.102,4.882932584e-12,0,32.04424507
0.103,4.930804472e-12,0,32.35840433
0.104,4.97867636e-12,0,32.6725636
0.105,5.026548248e-12,0,32.98672286
0.106,5.074420137e-12,0,33.30088213
0.107,5.122292025e-12,0,33.61504139
0.108,5.170163913e-12,0,33.92920066
0.109,5.218035801e-12,0,34.24335992
0.11,5.265907689e-12,0,34.55751919
0.111,5.313779577e-12,0,34.87167845
0.112,5.361651465e-12,0,35.18583772
0.113,5.409523353e-12,0,35.49999699
0.114,5.457395241e-12,0,35.81415625
0.115,5.505267129e-12,0,36.12831552
0.116,5.553139017e-12,0,36.44247478
0.117,5.601010905e-12,0,36.75663405
0.118,5.648882794e-12,0,37.07079331
0.119,5.696754682e-12,0,37.38495258
0.12,5.74462657e-12,0,37.69911184
0.121,5.792498458e-12,0,38.01327111
0.122,5.840370346e-12,0,38.32743037
0.123,5.888242234e-12,0,38.64158964
0.124,5.936114122e-12,0,38.9557489
0.125,5.98398601e-12,0,39.26990817
0.126,6.031857898e-12,0,39.58406744
0.127,6.079729786e-12,0,39.8982267
0.128,6.127601674e-12,0,40.21238597
0.129,6.175473562e-12,0,40.52654523
0.13,6.22334545e-12,0,40.8407045
0.131,6.271217339e-12,0,41.15486376
0.132,6.319089227e-12,0,41.46902303
0.133,6.366961115e-12,0,41.78318229
0.134,6.414833003e-12,0,42.09734156
0.135,6.462704891e-12,0,42.41150082
0.136,6.510576779e-12,0,42.72566009
0.137,6.558448667e-12,0,43.03981935
0.138,6.606320555e-12,0,43.35397862
0.139,6.654192443e-12,0,43.66813788
0.14,6.702064331e-12,0,43.98229715
0.141,6.749936219e-12,0,44.29645642
0.142,6.797808107e-12,0,44.61061568
0.143,6.845679996e-12,0,44.92477495
0.144,6.893551884e-12,0,45.23893421
0.145,6.941423772e-12,0,45.55309348
0.146,6.98929566e-12,0,45.86725274
0.147,7.037167548e-12,0,46.18141201
0.148,7.085039436e-12,0,46.49557127
