time,hollowCylinderAxialAir1.Phi.re,hollowCylinderAxialAir1.Phi.im,hollowCylinderAxialAir2.Phi.re,hollowCylinderAxialAir2.Phi.im,constantSource.port_p.reference.gamma
0,-0.00303030303,0,-0.00303030303,-0,0
0.001,-0.00303030303,0,-0.00303030303,0,0.3141592654
0.002,-0.00303030303,0,-0.00303030303,0,0.6283185307
0.003,-0.00303030303,0,-0.00303030303,0,0.9424777961
0.004,-0.00303030303,0,-0.00303030303,0,1.256637061
0.005,-0.00303030303,0,-0.00303030303,0,1.570796327
0.006,-0.00303030303,0,-0.00303030303,0,1.884955592
0.007,-0.00303030303,0,-0.00303030303,0,2.199114858
0.008,-0.00303030303,0,-0.00303030303,0,2.513274123
0.009,-0.00303030303,0,-0.00303030303,0,2.827433388
0.01,-0.00303030303,0,-0.00303030303,0,3.141592654
0.011,-0.00303030303,0,-0.00303030303,0,3.455751919
0.012,-0.00303030303,0,-0.00303030303,0,3.769911184
0.013,-0.00303030303,0,-0.00303030303,0,4.08407045
0.014,-0.00303030303,0,-0.00303030303,0,4.398229715
0.015,-0.00303030303,0,-0.00303030303,0,4.71238898
0.016,-0.00303030303,0,-0.00303030303,0,5.026548246
0.017,-0.00303030303,0,-0.00303030303,0,5.340707511
0.018,-0.00303030303,0,-0.00303030303,0,5.654866776
0.019,-0.00303030303,0,-0.00303030303,0,5.969026042
0.02,-0.00303030303,0,-0.00303030303,0,6.283185307
0.021,-0.00303030303,0,-0.00303030303,0,6.597344573
0.022,-0.00303030303,0,-0.00303030303,0,6.911503838
0.023,-0.00303030303,0,-0.00303030303,0,7.225663103
0.024,-0.00303030303,0,-0.00303030303,0,7.539822369
0.025,-0.00303030303,0,-0.00303030303,0,7.853981634
0.026,-0.00303030303,0,-0.00303030303,0,8.168140899
0.027,-0.00303030303,0,-0.00303030303,0,8.482300165
0.028,-0.00303030303,0,-0.00303030303,0,8.79645943
0.029,-0.00303030303,0,-0.00303030303,0,9.110618695
0.03,-0.00303030303,0,-0.00303030303,0,9.424777961
0.031,-0.00303030303,0,-0.00303030303,0,9.738937226
0.032,-0.00303030303,0,-0.00303030303,0,10.05309649
0.033,-0.00303030303,0,-0.00303030303,0,10.36725576
0.034,-0.00303030303,0,-0.00303030303,0,10.68141502
0.035,-0.00303030303,0,-0.00303030303,0,10.99557429
0.036,-0.00303030303,0,-0.00303030303,0,11.30973355
0.037,-0.00303030303,0,-0.00303030303,0,11.62389282
0.038,-0.00303030303,0,-0.00303030303,0,11.93805208
0.039,-0.00303030303,0,-0.00303030303,0,12.25221135
0.04,-0.00303030303,0,-0.00303030303,0,12.56637061
0.041,-0.00303030303,0,-0.00303030303,0,12.88052988
0.042,-0.00303030303,0,-0.00303030303,0,13.19468915
0.043,-0.00303030303,0,-0.00303030303,0,13.50884841
0.044,-0.00303030303,0,-0.00303030303,0,13.82300768
0.045,-0.00303030303,0,-0.00303030303,0,14.13716694
0.046,-0.00303030303,0,-0.00303030303,0,14.45132621
0.047,-0.00303030303,0,-0.00303030303,0,14.76548547
0.048,-0.00303030303,0,-0.00303030303,0,15.07964474
0.049,-0.00303030303,0,-0.00303030303,0,15.393804
0.05,-0.00303030303,0,-0.00303030303,0,15.70796327
0.051,-0.00303030303,0,-0.00303030303,0,16.02212253
0.052,-0.00303030303,0,-0.00303030303,0,16.3362818
0.053,-0.00303030303,0,-0.00303030303,0,16.65044106
0.054,-0.00303030303,0,-0.00303030303,0,16.96460033
0.055,-0.00303030303,0,-0.00303030303,0,17.27875959
0.056,-0.00303030303,0,-0.00303030303,0,17.59291886
0.057,-0.00303030303,0,-0.00303030303,0,17.90707813
0.058,-0.00303030303,0,-0.00303030303,0,18.22123739
0.059,-0.00303030303,0,-0.00303030303,0,18.53539666
0.06,-0.00303030303,0,-0.00303030303,0,18.84955592
0.061,-0.00303030303,0,-0.00303030303,0,19.16371519
0.062,-0.00303030303,0,-0.00303030303,0,19.47787445
0.063,-0.00303030303,0,-0.00303030303,0,19.79203372
0.064,-0.00303030303,0,-0.00303030303,0,20.10619298
0.065,-0.00303030303,0,-0.00303030303,0,20.42035225
0.066,-0.00303030303,0,-0.00303030303,0,20.73451151
0.067,-0.00303030303,0,-0.00303030303,0,21.04867078
0.068,-0.00303030303,0,-0.00303030303,0,21.36283004
0.069,-0.00303030303,0,-0.00303030303,0,21.67698931
0.07,-0.00303030303,0,-0.00303030303,0,21.99114858
0.071,-0.00303030303,0,-0.00303030303,0,22.30530784
0.072,-0.00303030303,0,-0.00303030303,0,22.61946711
0.073,-0.00303030303,0,-0.00303030303,0,22.93362637
0.074,-0.00303030303,0,-0.00303030303,0,23.24778564
0.075,-0.00303030303,0,-0.00303030303,0,23.5619449
0.076,-0.00303030303,0,-0.00303030303,0,23.87610417
0.077,-0.00303030303,0,-0.00303030303,0,24.19026343
0.078,-0.00303030303,0,-0.00303030303,0,24.5044227
0.079,-0.00303030303,0,-0.00303030303,0,24.81858196
