time,transformerL.inductor[3].i,transformerL.plug_p.pin[2].i,transformerL.inductor[1].iˍt,transformerL.inductor[2].i
0,-0,0,1.136868377e-13,0
1e-06,0.0002886220046,-0.00028862724,0.01047014313,-0.00028862724
7.790451346e-06,0.002245687605,-0.002246005094,0.08147029362,-0.002246005094
6.043908367e-05,0.01725451152,-0.01727350381,0.6262689226,-0.01727350381
0.0002781764863,0.07632010664,-0.07671244065,2.77570337,-0.07671244065
0.0006784401232,0.1732034712,-0.1754334598,6.323574437,-0.1754334598
0.001219485524,0.2830752883,-0.2898620457,10.39193372,-0.2898620457
0.001921722836,0.3957274747,-0.4113645645,14.63903028,-0.4113645645
0.002799461576,0.4991763214,-0.5295182093,18.65845486,-0.5295182093
0.003869379107,0.5837207833,-0.635998126,22.12325382,-0.635998126
0.005147273539,0.6431012089,-0.7255115677,24.82388984,-0.7255115677
0.006653430225,0.6752395551,-0.7965889608,26.69601626,-0.7965889608
0.008413530435,0.6812014893,-0.8506289615,27.78433095,-0.8506289615
0.01046343696,0.6636284597,-0.890544403,28.18957743,-0.890544403
0.01285700882,0.6249885073,-0.9192666859,28.00969068,-0.9192666859
0.01566794818,0.5663192979,-0.9384214983,27.29297842,-0.9384214983
0.01900111491,0.4864002845,-0.9474397216,26.00697924,-0.9474397216
0.02297814406,0.3820352611,-0.9427132057,24.02827427,-0.9427132057
0.02759778965,0.2526902347,-0.9181090586,21.23593744,-0.9181090586
0.03259205962,0.1067693376,-0.8696429752,17.7101383,-0.8696429752
0.03782902657,-0.04903622961,-0.7958664994,13.54597144,-0.7958664994
0.04318623447,-0.2070225392,-0.698169101,8.908375333,-0.698169101
0.04854399455,-0.3591750059,-0.5807283724,4.018493612,-0.5807283724
0.05390175462,-0.5011757546,-0.4468735161,-0.9849739728,-0.4468735161
0.0592595147,-0.6290110675,-0.3003879978,-5.960602615,-0.3003879978
0.06470787438,-0.7407571533,-0.1427436201,-10.84680578,-0.1427436201
0.07051129045,-0.8359070914,0.02964977833,-15.69951322,0.02964977833
0.07655268732,-0.9054862497,0.207985377,-20.19619239,0.207985377
0.08293397544,-0.9436310966,0.3881154043,-24.15526233,0.3881154043
0.08968748783,-0.9428240866,0.5616761973,-27.28866444,0.5616761973
0.09693758154,-0.8949385071,0.7197734011,-29.28766635,0.7197734011
0.1049281565,-0.7887831491,0.8506831234,-29.73661754,0.8506831234
0.1140449963,-0.6077999958,0.9345911534,-27.9757379,0.9345911534
0.1231618361,-0.3772965987,0.9423541096,-23.93555094,0.9423541096
0.1322786759,-0.1160534271,0.8733399623,-17.94524506,0.8733399623
0.1413955157,0.1546450485,0.7331715681,-10.49287346,0.7331715681
0.1492246306,0.3778643568,0.5645596934,-3.386027588,0.5645596934
0.1556483462,0.5445900728,0.4003131506,2.617005816,0.4003131506
0.1620720617,0.6892120444,0.219818946,8.51394267,0.219818946
0.1687064912,0.8091549534,0.02412606179,14.23894602,0.02412606179
0.1754617461,0.8952702388,-0.1761503713,19.4335119,-0.1761503713
0.1824419551,0.9420246403,-0.3746908324,23.88266131,-0.3746908324
0.1897120465,0.9427435326,-0.5622658561,27.29792018,-0.5622658561
0.1974188476,0.8900825575,-0.729032033,29.36753149,-0.729032033
0.2058558209,0.7730954623,-0.8625508489,29.66732104,-0.8625508489
0.2153490158,0.5774639857,-0.9404519031,27.53175946,-0.9404519031
0.2248422106,0.330848631,-0.9353215486,22.96544815,-0.9353215486
