time,sine.phi,sinFM.phi,sinAM.phi,cosFM.phi,cosAM.phi,sine.y,sinFM.y,cosFM.y,sinAM.y,cosAM.y
0,0,0,0,0,0,0,0,1,0,1
0.0001,0.06283185307,0.06285159228,0.06283185307,0.06285159228,0.06283185307,0.06279051953,0.06281021977,0.9980254888,0.06282997197,0.998653807
0.001340400184,0.8421982739,0.8457446797,0.8421982739,0.8457446797,0.8421982739,0.7461085857,0.7484651719,0.6631740996,0.7523920022,0.6714315804
0.01256235311,7.893159245,8.20402267,7.893159245,8.20402267,7.893159245,0.9992326555,0.939358641,-0.3429363549,1.0777765,-0.04224632552
0.03389228655,21.29515169,23.52850092,21.29515169,23.52850092,21.29515169,0.6411507825,-0.9994408021,-0.03343774881,0.7735943615,-0.9259411025
0.05903841843,37.09493233,43.66525674,37.09493233,43.66525674,37.09493233,-0.5680870364,-0.3117558356,0.9501622487,-0.7600120564,1.101003767
0.08980790318,56.42796977,70.72891122,56.42796977,70.72891122,56.42796977,-0.1204051509,0.9990723504,-0.04306319273,-0.174816034,1.441335503
0.1253471437,78.75793316,103.8669883,78.75793316,103.8669883,78.75793316,-0.2163914452,-0.1932080334,-0.9811578139,-0.3245861383,-1.464455382
0.166294234,104.4857488,141.8842847,104.4857488,141.8842847,104.4857488,-0.7264838099,-0.4904580916,-0.8714647786,-1.041907088,-0.9855435649
0.2128639794,133.7463828,181.0732438,133.7463828,181.0732438,133.7463828,0.9739630726,-0.9082698837,0.4183847731,1.193061126,-0.2777055645
0.2668413936,167.6613924,217.1036885,167.6613924,217.1036885,167.6613924,-0.9155936211,-0.3276312652,-0.94480567,-0.819429331,-0.3598720125
0.3377493462,212.2141729,248.494397,212.2141729,248.494397,212.2141729,-0.9877525238,-0.3037035363,-0.9527665832,-0.5470051633,0.08640676325
0.4086572987,256.7669535,271.5059556,256.7669535,271.5059556,256.7669535,-0.7470704775,0.970906396,0.2394593291,-0.4064504023,0.3616603997
0.4795652512,301.319734,302.1395548,301.319734,302.1395548,301.319734,-0.2697762925,0.5198369115,0.854265524,-0.2355177078,0.8406425245
0.5578772385,350.5246068,356.8499539,350.5246068,356.8499539,350.5246068,-0.9720406151,-0.9612796126,0.2755748654,-1.295176241,0.312871635
0.6557465218,412.0176911,446.4376047,412.0176911,446.4376047,412.0176911,-0.452042191,0.3254124532,0.9455721735,-0.6614015136,-1.305116834
0.7325435769,460.2707039,509.6711421,460.2707039,509.6711421,460.2707039,0.999625187,0.6692004109,0.7430819673,1.108388802,-0.03035544334
0.8264004201,519.2426977,558.5801731,519.2426977,558.5801731,519.2426977,-0.7706814721,-0.5837334372,0.8119453641,-0.4549967964,-0.3762038317
0.927353343,582.67329,592.387909,582.67329,592.387909,582.67329,-0.9957574419,0.9805221365,-0.1964086042,-0.6017943623,-0.05561120816
1,628.3185307,628.3190734,628.3185307,628.3190734,628.3185307,8.871502116e-12,0.0005426488312,0.9999998528,8.871502116e-12,1
