time,Ideal.v,With_Ron_Goff.s,R3.i,With_Ron_Goff_Vknee.v,With_Ron_Goff.v
0,0,-8.99910009,0,0,-8.99910009
1e-06,6.283185307e-05,-8.999037264,1.256385784e-05,6.281928921e-05,-8.999037264
0.010001,0.6279679031,-8.371194977,0.1255684669,0.6278423347,-8.371194977
0.08335171158,5.001,-3.99860014,1,5,-3.99860014
0.08335171158,5.001,-3.99860014,1,5,-3.99860014
0.1782073969,8.999740991,-0.0002589826044,20.89423379,8.978846758,-0.0002587495206
0.1782073969,8.999740991,-0.002564440626,20.89423379,8.978846758,-0.0002587495206
0.17821684,8.999999633,-3.636113632e-06,20.89552056,8.979104112,-3.636113579e-07
0.17821684,8.999999633,-3.636113632e-06,20.89552056,8.979104112,-3.636113579e-07
0.1782168534,8.999999999,-5.272624332e-09,20.89552239,8.979104477,-5.158696161e-10
0.1782168534,8.999999999,-5.272624332e-09,20.89552239,8.979104477,-5.158696161e-10
0.1782168534,9,-2.645072471e-15,20.89552239,8.979104478,1.06368274e-11
0.1782168534,9,-2.645072471e-15,20.89552239,8.979104478,1.06368274e-11
0.2782168534,9.843249465,8.3490046,25.09079336,9.818158671,0.83490046
0.3131871322,9.222187378,2.199875029,22.00093223,9.200186446,0.2219673904
0.3131871322,9.222187378,0.2221651614,22.00093223,9.200186446,0.2219673904
0.3201572583,9.044059055,0.0440546497,21.11472167,9.022944333,0.0440546497
0.3201572583,9.044059055,0.0440546497,21.11472167,9.022944333,0.0440546497
0.3214762038,9.008389736,0.008388897086,20.93726237,8.987452474,0.008388897086
0.3214762038,9.008389736,0.008388897086,20.93726237,8.987452474,0.008388897086
0.3217252073,9.001586232,0.001586073504,20.90341409,8.980682818,0.001586073505
0.3217252073,9.001586232,0.001586073504,20.90341409,8.980682818,0.001586073505
0.3217722099,9.000299509,0.0002994785981,20.89701248,8.979402496,0.0002994785994
0.3217722099,9.000299509,0.0002994785981,20.89701248,8.979402496,0.0002994785994
0.3217810822,9.000056538,5.653271535e-05,20.89580367,8.979160735,5.653271686e-05
0.3217810822,9.000056538,5.653271535e-05,20.89580367,8.979160735,5.653271686e-05
0.3217827569,9.000010672,1.067118894e-05,20.89557548,8.979115097,1.067120609e-05
0.3217827569,9.000010672,1.067118894e-05,20.89557548,8.979115097,1.067120609e-05
0.321783073,9.000002015,2.014309708e-06,20.89553241,8.979106482,2.014309708e-06
0.321783073,9.000002015,2.014309708e-06,20.89553241,8.979106482,2.014309708e-06
0.3217831327,9.00000038,3.802202632e-07,20.89552428,8.979104856,3.802202633e-07
0.3217831327,9.00000038,3.802202632e-07,20.89552428,8.979104856,3.802202633e-07
0.3217831439,9.000000072,7.177019635e-08,20.89552275,8.979104549,7.177019636e-08
0.3217831439,9.000000072,7.177019635e-08,20.89552275,8.979104549,7.177019636e-08
0.3217831461,9.000000014,1.35473079e-08,20.89552246,8.979104491,1.354730791e-08
0.3217831461,9.000000014,1.35473079e-08,20.89552246,8.979104491,1.354730791e-08
0.3217831465,9.000000003,2.557185562e-09,20.8955224,8.97910448,2.557184763e-09
0.3217831465,9.000000003,2.557185562e-09,20.8955224,8.97910448,2.557184763e-09
0.3217831465,9,4.826928367e-10,20.89552239,8.979104478,4.82692689e-10
0.3217831465,9,4.826928367e-10,20.89552239,8.979104478,4.82692689e-10
0.3217831466,9,9.11144694e-11,20.89552239,8.979104478,9.11144417e-11
0.3217831466,9,9.11144694e-11,20.89552239,8.979104478,9.11144417e-11
0.3217831466,9,3.655906893e-16,20.89552239,8.979104478,1.72022396e-11
0.3217831466,9,3.655906893e-16,20.89552239,8.979104478,1.72022396e-11
0.4166834575,4.999086314,-4.000513635,0.9904791718,4.998095834,-4.000513635
0.4166834575,4.999086314,-4.000513635,0.9996173392,4.998095834,-4.000513635
0.497337998,0.1672507226,-8.831866091,0.03344345583,0.1672172792,-8.831866091
0.497337998,0.1672507226,-8.831866091,0.03344345583,0.1672172792,-8.831866091
0.4998360006,0.01030438245,-8.988796738,0.002060464397,0.01030232199,-8.988796738
0.4998360006,0.01030438245,-8.988796738,0.002060464397,0.01030232199,-8.988796738
0.4999897058,0.0006468066982,-8.998453348,0.0001293354724,0.0006466773626,-8.998453348
0.4999897058,0.0006468066982,-8.998453348,0.0001293354724,0.0006466773626,-8.998453348
0.4999993531,4.0646661e-05,-8.999059447,8.127678434e-06,4.06384963e-05,-8.999059447
0.4999993531,4.0646661e-05,-8.999059447,8.127678434e-06,4.06384963e-05,-8.999059447
0.4999999593,2.554463926e-06,-8.999097536,5.107906268e-07,2.553953135e-06,-8.999097536
0.4999999593,2.554463926e-06,-8.999097536,5.107906268e-07,2.553953135e-06,-8.999097536
0.4999999974,1.605182311e-07,-8.999099929,3.212319711e-08,1.605077528e-07,-8.999099929
0.4999999974,1.605182311e-07,-8.999099929,3.212319711e-08,1.605077528e-07,-8.999099929
0.4999999998,1.010834022e-08,-8.99910008,2.022901968e-09,1.010768251e-08,-8.99910008
0.4999999998,1.010834022e-08,-8.99910008,2.022901968e-09,1.010768251e-08,-8.99910008
0.5,6.365626591e-10,-8.999100089,1.273888703e-10,6.36520127e-10,-8.999100089
0.5,6.365626591e-10,-8.999100089,1.273888703e-10,6.36520127e-10,-8.999100089
0.5,2.302835218e-15,-8.99910009,1.022563695e-13,4.008905536e-11,-8.99910009
0.5,2.302835218e-15,-8.99910009,1.022563695e-13,4.008905536e-11,-8.99910009
1,-2.449293598e-15,-8.99910009,-6.661338237e-16,-2.448627464e-15,-8.99910009
