time,L.n.i,C1.v,C2.v,L.i
0,-0,4,0,0
0.05982600974,-2.2463192e-06,3.998356933,0.001351561054,2.2463192e-06
1.261898191,-0.000994098331,3.966622757,0.02829300844,0.000994098331
5.065593813,-0.01574746289,3.881599453,0.1108193006,0.01574746289
11.15964703,-0.07429179772,3.789661959,0.2342340585,0.07429179772
19.63718961,-0.2206762229,3.738205128,0.3872278342,0.2206762229
31.40377534,-0.5302801445,3.778358044,0.5616033641,0.5302801445
46.20801098,-1.05219895,3.943764552,0.7143865914,1.05219895
64.10221851,-1.794490613,4.203839028,0.795266699,1.794490613
85.04801092,-2.673526648,4.444950444,0.7465258009,2.673526648
109.251002,-3.490675395,4.478694782,0.5195322114,3.490675395
136.4444301,-3.911878499,4.093283121,0.1132744155,3.911878499
163.6378582,-3.663980502,3.285689963,-0.3430748929,3.663980502
190.8312863,-2.779623697,2.223986389,-0.7232412926,2.779623697
221.5349577,-1.286320116,1.045721254,-0.9276300018,1.286320116
227.5722386,-0.9694174099,0.8366775392,-0.9318191403,0.9694174099
234.6879446,-0.598617989,0.5595655295,-0.9220760502,0.598617989
251.0433892,0.2138873535,-0.2039976206,-0.8523448634,-0.2138873535
264.5015302,0.814472578,-0.9688951564,-0.764531396,-0.814472578
269.5457011,1.020525888,-1.268473754,-0.7288859108,-1.020525888
272.8404628,1.14928783,-1.446965581,-0.705076009,-1.14928783
288.8601024,1.706630448,-2.13507025,-0.5807041072,-1.706630448
304.8797421,2.140195676,-2.564384036,-0.4390009833,-2.140195676
325.6173507,2.495293813,-2.805691975,-0.2323341897,-2.495293813
347.7334713,2.598275143,-2.75478179,0.0004617186265,-2.598275143
370.8239355,2.408444927,-2.462753681,0.2264431292,-2.408444927
395.6030368,1.924000088,-2.006083718,0.4090615132,-1.924000088
423.7698727,1.166074984,-1.484627313,0.4965821395,-1.166074984
453.0640192,0.3762712965,-1.131169958,0.4279501379,-0.3762712965
482.5192428,-0.1667370685,-1.107143302,0.2136904536,0.1667370685
511.9744664,-0.2740992382,-1.445780685,-0.08243531385,0.2740992382
541.42969,0.1057708999,-2.058835863,-0.3691298969,-0.1057708999
574.2225343,0.9734275037,-2.841659894,-0.5666269598,-0.9734275037
607.0153787,1.997859814,-3.440894554,-0.5577592375,-1.997859814
641.9506417,2.821194632,-3.609990907,-0.3171935517,-2.821194632
678.1228013,2.99569578,-3.181794129,0.08078883255,-2.99569578
714.2949609,2.371574844,-2.31504856,0.450885601,-2.371574844
750.4671206,1.207543775,-1.399168488,0.6172281658,-1.207543775
769.1654364,0.5623771472,-1.052157775,0.589335751,-0.5623771472
773.9725089,0.4059499088,-0.9855386061,0.5691890167,-0.4059499088
777.0622989,0.308791079,-0.9449394457,0.5535704241,-0.308791079
795.4633722,-0.1963353465,-0.7262157527,0.4240908732,0.1963353465
810.4091064,-0.4887275836,-0.6162780103,0.2852326428,0.4887275836
831.4322118,-0.6854090045,-0.6551915862,0.06355658095,0.6854090045
841.5714541,-0.6850242229,-0.7902923017,-0.04787798173,0.6850242229
849.8859048,-0.637825552,-0.9747219835,-0.1399273674,0.637825552
855.9509167,-0.5767719443,-1.144715665,-0.2072113591,0.5767719443
859.2253694,-0.5345247667,-1.239649469,-0.2433088811,0.5345247667
876.8601198,-0.1995466118,-1.77632287,-0.4269866606,0.1995466118
894.4948702,0.2946298332,-2.329375096,-0.5749219779,-0.2946298332
914.0569851,0.9714656679,-2.907702721,-0.6730224991,-0.9714656679
937.3825458,1.837265811,-3.460348,-0.6766813196,-1.837265811
962.8906614,2.672223792,-3.787083037,-0.5342007928,-2.672223792
991.5685084,3.234938805,-3.722919446,-0.22664101,-3.234938805
1021.107597,3.220773605,-3.197034698,0.1649314363,-3.220773605
1050.646685,2.589951245,-2.359462994,0.5125548545,-2.589951245
1083.14894,1.401601317,-1.38632473,0.7121315661,-1.401601317
1097.119657,0.8330968958,-1.042789794,0.7160919195,-0.8330968958
1100.514855,0.6968353598,-0.9702884716,0.7090795087,-0.6968353598
1103.279742,0.5872709044,-0.9101866295,0.7011203218,-0.5872709044
1117.123422,0.067871426,-0.58521548,0.6346032457,-0.067871426
1130.967101,-0.3816128287,-0.236310379,0.5338475199,0.3816128287
1148.629104,-0.8230848505,0.2171133932,0.3785169295,0.8230848505
1166.79722,-1.109729509,0.6779745657,0.2159762727,1.109729509
1176.648485,-1.197921781,0.928002878,0.1368532265,1.197921781
1182.067852,-1.228612766,1.064997786,0.0979998452,1.228612766
1184.622928,-1.239116297,1.123344157,0.08097898359,1.239116297
1199.952611,-1.256309422,1.386023868,-0.004672783351,1.256309422
1212.367962,-1.224156662,1.515129614,-0.05472224177,1.224156662
1229.3341,-1.13627101,1.615623433,-0.09740036304,1.13627101
1248.403339,-1.007784368,1.674078639,-0.1129173947,1.007784368
1271.339883,-0.8581186547,1.728160114,-0.09227267672,0.8581186547
1298.617573,-0.7488423971,1.828709726,-0.02620293462,0.7488423971
1326.757864,-0.76343818,2.001358579,0.06495815297,0.76343818
1354.898155,-0.9179044591,2.228912552,0.1499120142,0.9179044591
