time,idealTransformer.i2,idealTransformer.i1ˍt,basicTransformer.i2,basicTransformer.i1,basicTransformer.i1ˍt,inductor22.i
0,-0,125.6637061,0,0,125.977082,0
1e-06,-0.0002512468934,125.5831958,-0.0002506201423,0.0001259370192,125.8969649,0.0002512468934
1.433870627e-05,-0.003587202229,124.5141888,-0.003578215645,0.001798134885,124.8331907,0.003587202229
0.0001170475243,-0.02834084777,116.5803963,-0.02826755878,0.01420976327,116.9389201,0.02834084777
0.0003344423917,-0.07565405557,101.4070633,-0.0754458906,0.03795302453,101.8447675,0.07565405557
0.0006394522806,-0.1318342196,83.36771878,-0.1314424955,0.06619231793,83.90650325,0.1318342196
0.0010293714,-0.1893339312,64.86170536,-0.1887221092,0.0951748648,65.51353362,0.1893339312
0.001516542547,-0.2435534763,47.3338036,-0.2426950717,0.1226319126,48.10358471,0.2435534763
0.002095855743,-0.289239715,32.43501578,-0.2881321249,0.1459545369,33.31579276,0.289239715
0.002764502344,-0.3242938678,20.80070662,-0.322955443,0.1641042349,21.77708483,0.3242938678
0.00351226132,-0.3486510533,12.41733614,-0.3471168557,0.1770427249,13.46853206,0.3486510533
0.004330184945,-0.363932194,6.733159147,-0.3622439437,0.1855665716,7.83755873,0.363932194
0.005206943975,-0.3722360341,3.050763707,-0.3704345523,0.1907029744,4.188759224,0.3722360341
0.006129502869,-0.3755375263,0.7231293225,-0.3736578564,0.1934128049,1.878621289,0.3755375263
0.007075461425,-0.3754125345,-0.7417814401,-0.373482466,0.1944466388,0.4189056006,0.3754125345
0.008021419981,-0.3730522491,-1.690739534,-0.371092119,0.1943633658,-0.5335484423,0.3730522491
0.009020722274,-0.36894045,-2.385520737,-0.3669635344,0.1934592259,-1.238511378,0.36894045
0.01022475522,-0.3624228434,-2.998365991,-0.3604396202,0.1915709113,-1.869835468,0.3624228434
0.011582698,-0.3535220419,-3.537287344,-0.3515443643,0.188635451,-2.435484327,0.3535220419
0.01321197395,-0.3410983285,-4.072994628,-0.3391401029,0.1841883734,-3.009461493,0.3410983285
0.01522099392,-0.3235758482,-4.633311756,-0.3216565021,0.1775102207,-3.62433289,0.3235758482
0.01883193292,-0.2871014551,-5.422085301,-0.2852850905,0.1627160179,-4.527077465,0.2871014551
0.02134228949,-0.258859748,-5.804516206,-0.2571355079,0.1507324116,-4.997776402,0.258859748
0.02479738669,-0.2175895781,-6.093220875,-0.216012995,0.13266373,-5.415413309,0.2175895781
0.02848262896,-0.1725056762,-6.085697998,-0.1711039412,0.1123602026,-5.548659719,0.1725056762
0.03300080106,-0.1191923199,-5.634673347,-0.1180124832,0.08774928753,-5.264000141,0.1191923199
0.0367265584,-0.07968486914,-4.920690986,-0.07867957412,0.06914190277,-4.67322448,0.07968486914
0.0406005318,-0.04536585118,-3.894340074,-0.04452016467,0.052725871,-3.753826256,0.04536585118
