time,currentSensor1.i_ref,currentSensor1.i_sim,currentSensor1.i_relerr,integrator1.y_ref,integrator1.y_sim,integrator1.y_relerr,der1.y_ref,der1.y_sim,der1.y_relerr
0,0,0,0,0,0,0,0,0,0
1e-07,0,0,0,0,0,0,0,0,0
2e-07,0,0,0,0,0,0,0,0,0
3.0000001e-07,0,0,0,0,0,0,0,0,0
4e-07,0,0,0,0,0,0,0,0,0
5e-07,0,0,0,0,0,0,0,0,0
6.0000002e-07,0,0,0,0,0,0,0,0,0
6.9999999e-07,0,0,0,0,0,0,0,0,0
8.0000001e-07,0,0,0,0,0,0,0,0,0
8.9999997e-07,0,0,0,0,0,0,0,0,0
1e-06,0,0,0,0,0,0,0,0,0
1.1e-06,0,0,0,0,0,0,0,0,0
1.2e-06,0,0,0,0,0,0,0,0,0
1.3e-06,0,0,0,0,0,0,0,0,0
1.4e-06,0,0,0,0,0,0,0,0,0
1.5000001e-06,0,0,0,0,0,0,0,0,0
1.6e-06,0,0,0,0,0,0,0,0,0
1.7e-06,0,0,0,0,0,0,0,0,0
1.7999999e-06,0,0,0,0,0,0,0,0,0
1.9e-06,0,0,0,0,0,0,0,0,0
2e-06,0,0,0,0,0,0,0,0,0
2.1000001e-06,0,0,0,0,0,0,0,0,0
2.1999999e-06,0,0,0,0,0,0,0,0,0
2.3e-06,0,0,0,0,0,0,0,0,0
2.4000001e-06,0,0,0,0,0,0,0,0,0
2.4999999e-06,0,0,0,0,0,0,0,0,0
2.6e-06,0,0,0,0,0,0,0,0,0
2.7000001e-06,0,0,0,0,0,0,0,0,0
2.7999999e-06,0,0,0,0,0,0,0,0,0
2.9e-06,0,0,0,0,0,0,0,0,0
3.0000001e-06,0,0,0,0,0,0,0,0,0
3.1e-06,0,0,0,0,0,0,0,0,0
3.2e-06,0,0,0,0,0,0,0,0,0
3.2999999e-06,0,0,0,0,0,0,0,0,0
3.4e-06,0,0,0,0,0,0,0,0,0
3.5e-06,0,0,0,0,0,0,0,0,0
3.5999999e-06,0,0,0,0,0,0,0,0,0
3.7e-06,0,0,0,0,0,0,0,0,0
3.8000001e-06,0,0,0,0,0,0,0,0,0
3.9000001e-06,0,0,0,0,0,0,0,0,0
4e-06,0,0,0,0,0,0,0,0,0
4.0999998e-06,0,0,0,0,0,0,0,0,0
4.2000001e-06,0,0,0,0,0,0,0,0,0
4.3e-06,0,0,0,0,0,0,0,0,0
4.3999999e-06,0,0,0,0,0,0,0,0,0
4.5000002e-06,0,0,0,0,0,0,0,0,0
4.6e-06,0,0,0,0,0,0,0,0,0
4.6999999e-06,0,0,0,0,0,0,0,0,0
4.8000002e-06,0,0,0,0,0,0,0,0,0
4.9e-06,0,0,0,0,0,0,0,0,0
4.9999999e-06,0,0,0,0,0,0,0,0,0
5.1000002e-06,0,0,0,0,0,0,0,0,0
5.2e-06,0,0,0,0,0,0,0,0,0
5.2999999e-06,0,0,0,0,0,0,0,0,0
5.4000002e-06,0,0,0,0,0,0,0,0,0
5.5e-06,0,0,0,0,0,0,0,0,0
5.5999999e-06,0,0,0,0,0,0,0,0,0
5.7000002e-06,0,0,0,0,0,0,0,0,0
5.8000001e-06,0,0,0,0,0,0,0,0,0
5.8999999e-06,0,0,0,0,0,0,0,0,0
6.0000002e-06,0,0,0,0,0,0,0,0,0
6.1000001e-06,0,0,0,0,0,0,0,0,0
6.1999999e-06,0,0,0,0,0,0,0,0,0
6.3000002e-06,0,0,0,0,0,0,0,0,0
6.4000001e-06,0,0,0,0,0,0,0,0,0
6.4999999e-06,0,0,0,0,0,0,0,0,0
6.5999998e-06,0,0,0,0,0,0,0,0,0
6.7000001e-06,0,0,0,0,0,0,0,0,0
6.7999999e-06,0,0,0,0,0,0,0,0,0
6.8999998e-06,0,0,0,0,0,0,0,0,0
7.0000001e-06,0,0,0,0,0,0,0,0,0
7.0999999e-06,0,0,0,0,0,0,0,0,0
7.1999998e-06,0,0,0,0,0,0,0,0,0
7.3000001e-06,0,0,0,0,0,0,0,0,0
7.4e-06,0,0,0,0,0,0,0,0,0
7.4999998e-06,0,0,0,0,0,0,0,0,0
7.6000001e-06,0,0,0,0,0,0,0,0,0
7.7000004e-06,0,0,0,0,0,0,0,0,0
7.8000003e-06,0,0,0,0,0,0,0,0,0
7.9000001e-06,0,0,0,0,0,0,0,0,0
8e-06,0,0,0,0,0,0,0,0,0
8.0999998e-06,0,0,0,0,0,0,0,0,0
8.1999997e-06,0,0,0,0,0,0,0,0,0
8.3000004e-06,0,0,0,0,0,0,0,0,0
8.4000003e-06,0,0,0,0,0,0,0,0,0
8.5000001e-06,0,0,0,0,0,0,0,0,0
8.6e-06,0,0,0,0,0,0,0,0,0
8.6999999e-06,0,0,0,0,0,0,0,0,0
8.7999997e-06,0,0,0,0,0,0,0,0,0
8.8999996e-06,0,0,0,0,0,0,0,0,0
9.0000003e-06,0,-2.926623774e-06,2.92662e-11,0,5.104667236e-13,1.18762e-14,0,-2.334432607,9.10203e-11
9.1000002e-06,0,-3.840228756e-05,3.84023e-10,0,2.118882882e-12,4.92968e-14,0,20.85928101,8.1331e-10
9.2e-06,0,-6.943719469e-05,6.94372e-10,0,-3.327094564e-12,7.74064e-14,0,114.1315303,4.45002e-09
9.2999999e-06,0,-9.293029694e-05,9.29303e-10,0,-1.337814846e-11,3.11249e-13,0,242.4501055,9.45321e-09
9.3999997e-06,0,-0.0001062355861,1.06236e-09,0,-2.574363264e-11,5.98938e-13,0,375.6879474,1.46482e-08
9.4999996e-06,0,-0.0001071622697,1.07162e-09,0,-3.829164163e-11,8.90873e-13,0,488.6240338,1.90516e-08
9.6000003e-06,0,-9.397448791e-05,9.39745e-10,0,-4.904900486e-11,1.14115e-12,0,560.9428495,2.18713e-08
9.7000002e-06,0,-6.539191617e-05,6.53919e-10,0,-5.620100495e-11,1.30754e-12,0,577.2329628,2.25065e-08
9.8e-06,0,-2.058918126e-05,2.05892e-10,0,-5.809190549e-11,1.35154e-12,0,526.9906328,2.05475e-08
9.8999999e-06,0,4.080403944e-05,4.0804e-10,0,-5.322457717e-11,1.23829e-12,0,404.6167302,1.57761e-08
