time,currentSensor1.i,currentSensor1.iˍt,integrator2.y,integrator1.y,currentSensor2.i,der1.y,der2.y
0,0,-0,0,0,0,0,0
1e-06,0,0,0,0,0,0,0
6.589172191e-06,0,0,0,0,0,0,0
8.856780777e-06,0,0,0,0,0,0,0
9.839996931e-06,0,0,0,0,0,0,0
1.060040339e-05,692.9721388,1152023060,-3.110812073e-30,0.0002105721731,-3.350793312e-23,1152023060,-2.790454968e-16
1.099246869e-05,1144.090758,1149202692,-6.815734363e-29,0.0005707310614,-4.135401629e-22,1149202692,-2.083395537e-15
1.193428269e-05,2223.23656,1142448728,-3.747776665e-27,0.002156943802,-1.162886584e-20,1142448728,-3.006000619e-14
1.307043551e-05,3516.641855,1134340728,-5.997375954e-26,0.005418486468,-1.172039825e-19,1134340728,-1.908600384e-13
1.444912194e-05,5073.76898,1124559853,-5.551756333e-25,0.01134178644,-7.48720768e-19,1124559853,-8.414326559e-13
1.641493951e-05,7270.838484,1110722567,-4.988264512e-24,0.02347992164,-4.66572922e-18,1110722567,-3.636657745e-12
1.871571835e-05,9807.883508,1094689145,-3.137800147e-23,0.04313423258,-2.160142664e-17,1094689145,-1.239243561e-11
2.285253061e-05,14277.49137,1066293974,-3.226621247e-22,0.09299306849,-1.506355019e-16,1066293974,-5.860297147e-11
2.736863891e-05,19024.16323,1035921192,-1.965315991e-21,0.1682415292,-6.789413498e-16,1035921192,-1.954570154e-10
3.311659434e-05,24869.65524,998190014,-1.092453816e-20,0.2944950797,-2.835613617e-15,998190014,-6.133563757e-10
4.121524826e-05,32743.99487,946744146,-6.623537951e-20,0.5280729254,-1.273198832e-14,946744146,-2.039510825e-09
5.40095747e-05,44357.1912,869410701.3,-5.202555664e-19,1.022356454,-7.093369467e-14,869410701.3,-8.059588658e-09
6.680390114e-05,55010.67908,796682062.7,-2.405759884e-18,1.65902124,-2.541335456e-13,796682062.7,-2.237186504e-08
8.277986859e-05,67052.98303,711965454.2,-1.064412448e-17,2.635865204,-8.775977826e-13,711965454.2,-6.02998465e-08
0.0001030830101,80491.11301,613421861.4,-4.659497984e-17,4.137054087,-3.003846215e-12,613421861.4,-1.613825276e-07
0.0001262515045,93510.74847,512432410.6,-1.768450831e-16,6.157250729,-9.128872177e-12,512432410.6,-3.927240524e-07
0.0001507504655,104880.3968,417703251.5,-5.571732276e-16,8.592175769,-2.375623943e-11,417703251.5,-8.44146182e-07
0.0001843717857,116985.7728,305656114.7,-2.014981644e-15,12.33244189,-6.935099169e-11,305656114.7,-1.989275253e-06
0.0002179931058,125637.1509,211791923,-5.805375509e-15,16.41993251,-1.675172008e-10,211791923,-4.028631065e-06
0.0002566955628,132054.5188,123004802.5,-1.61676166e-14,21.41765955,-3.9335632e-10,123004802.5,-7.976360175e-06
0.0002990401335,135560.8954,45767798.22,-4.183901281e-14,27.09522104,-8.688612411e-10,45767798.22,-1.50386297e-05
0.0003450191521,136113.8461,-18675557.83,-1.014888073e-13,33.35223213,-1.818459199e-09,-18675557.83,-2.715745284e-05
0.0003955104668,133784.8444,-70657929.9,-2.357228227e-13,40.17702998,-3.670719236e-09,-70657929.9,-4.764453076e-05
0.0004497883288,128830.3879,-109285309,-5.198102637e-13,47.31359235,-7.096101635e-09,-109285309,-8.074587707e-05
0.0005095412051,121430.0296,-136034711.3,-1.116936769e-12,54.79841965,-1.342493676e-08,-136034711.3,-0.0001345042416
0.0005737295219,112148.0335,-151198983.1,-2.308126323e-12,62.30009396,-2.458571088e-08,-151198983.1,-0.0002183039661
0.0006438650706,101302.4353,-156460249.9,-4.667364708e-12,69.78745634,-4.421926352e-08,-156460249.9,-0.0003492399801
0.0007200352295,89458.72098,-153307948.4,-9.22673687e-12,77.05105722,-7.804608153e-08,-153307948.4,-0.000550357936
0.0008030758575,77101.27079,-143500570.9,-1.792916791e-11,83.96101432,-1.35793418e-07,-143500570.9,-0.0008574496066
0.0008939807457,64703.87882,-128816560,-3.440806879e-11,90.39626207,-2.338331237e-07,-128816560,-0.0013249061
0.0009941360168,52691.50557,-110967763.3,-6.556917002e-11,96.26019571,-4.003076946e-07,-110967763.3,-0.002037726019
0.001,52043.87316,-109917088.9,-6.795188293e-11,96.56727597,-4.124005539e-07,-109917088.9,-0.002086872935
