time,HeatCapacitor1.T,Capacitor1.v,H_PMOS.D.i,H_NMOS.D.i
0,293.15,0,0,0
1e-06,293.1500068,2.499999983e-12,4.999999975e-11,2.499999983e-19
0.0001552648483,293.1510635,6.026787042e-08,7.763236389e-09,6.026787042e-15
0.001697913331,293.1616208,7.207192621e-06,8.489494585e-08,7.207192621e-13
0.002908503612,293.1698944,7.131584807e-05,2.162232923e-06,7.131584807e-12
0.0035664541,293.1743873,0.000369877359,7.457606681e-06,3.69877359e-11
0.007461767697,293.20098,0.01869331723,0.0001056910413,1.869331723e-09
0.00950929659,293.2150193,0.04977396072,0.0002031648361,4.977396072e-09
0.01010870409,293.2191487,0.06291740409,0.0002307787087,6.291740409e-09
0.01037516445,293.2209856,0.06905256096,0.0002297279367,6.905256096e-09
0.01303976804,293.2393177,0.1288762602,0.0002193592313,1.288762602e-08
0.02126055352,293.2954673,0.296534122,0.0001889785376,2.96534122e-08
0.03414399287,293.382274,0.5112331675,0.0001463218386,2.318771165e-06
0.04188178635,293.4337465,0.6112636184,0.000123626512,9.520573375e-06
0.06493819243,293.5843863,0.7589237264,6.878284378e-05,5.754231964e-05
0.07853945095,293.6714554,0.7337130854,4.499174363e-05,9.115141436e-05
0.09238740104,293.7587963,0.6393179782,2.674084986e-05,0.0001131580061
0.1073276152,293.8515736,0.4943943436,1.310434315e-05,0.0001159900808
0.1258437216,293.9645149,0.3111896924,3.600587102e-06,9.385762241e-05
0.1443598281,294.0752885,0.1704810956,5.16007002e-07,6.124610705e-05
0.1633256721,294.1866124,0.08294589748,4.917054099e-07,3.375567407e-05
0.185717764,294.3153481,0.03241422224,4.967585778e-07,1.456825837e-05
0.2017701223,294.405876,0.01602559367,4.983974406e-07,7.557625969e-06
0.2197428351,294.505524,0.007352320209,4.99264768e-07,3.592764075e-06
0.2385063987,294.6076634,0.003519596899,4.996480403e-07,1.752842801e-06
0.2716842501,294.7836424,0.001486554641,4.998513445e-07,7.341605665e-07
0.2907102821,294.8819555,0.001209125572,4.998790874e-07,5.801214848e-07
0.3172479274,295.0159966,0.00112069525,4.998879305e-07,5.002873313e-07
0.3437855727,295.1465273,0.001169647292,4.998830353e-07,4.654651632e-07
0.3551936099,295.2015841,0.001215663939,5.252180074e-07,4.53177475e-07
0.3636120184,295.2418129,0.001483513845,1.224817473e-06,5.232341031e-07
0.3762674284,295.3016665,0.003749872114,4.393210888e-06,1.199769437e-06
0.3859356425,295.3469032,0.008302468011,8.862370821e-06,2.432061132e-06
0.3967506915,295.3970219,0.01791525379,1.632541815e-05,4.669391261e-06
0.4075657405,295.4466491,0.03426845947,2.673068345e-05,7.749684426e-06
0.4183993624,295.4958904,0.06000926947,4.042944893e-05,1.136180387e-05
0.4293279371,295.5451083,0.09900100661,5.786339313e-05,1.482861044e-05
0.4403444844,295.5942833,0.1565720633,7.936516393e-05,1.678774835e-05
0.4514465806,295.6434165,0.2406126649,0.0001052251371,1.471831516e-05
0.4625955535,295.692347,0.3627700235,0.0001355686439,5.060356043e-06
0.4737445264,295.7408775,0.5309935289,0.0001703659026,5.309935322e-08
0.4983744894,295.8466976,1.059992873,0.000262884018,1.059992873e-07
0.5241930441,295.9554112,1.878081867,0.0003637057254,1.878081867e-07
0.5452186987,296.0416985,2.668840859,0.000376428843,2.668840859e-07
0.568983135,296.1362331,3.5010444,0.0003141949513,3.5010444e-07
0.5927475713,296.2277132,4.13352712,0.0002174937086,4.13352712e-07
0.619544647,296.3277452,4.579427798,0.0001212231257,4.579427798e-07
0.6471319688,296.4277451,4.817034582,5.80240474e-05,4.817034582e-07
0.6772508572,296.5337546,4.931178128,2.337522464e-05,4.931178128e-07
0.7125505031,296.6539882,4.978892423,7.508226816e-06,4.978892423e-07
0.7597235021,296.8081762,4.995003931,1.80368934e-06,4.995003931e-07
0.814146425,296.9772556,4.998062205,6.685362908e-07,4.998062205e-07
0.8794897146,297.1684726,4.998374485,4.842263676e-07,4.998374485e-07
0.9652613091,297.4012338,4.997946648,4.170683159e-07,4.997946648e-07
1.019207785,297.5377268,4.997358069,3.587125686e-07,4.997358069e-07
1.047144998,297.605633,4.985061263,1.535697183e-06,1.847673215e-05
1.063275667,297.6442252,4.933592615,5.368924521e-06,5.481876786e-05
1.09140411,297.7109359,4.674600355,1.411924591e-05,0.0001566425091
1.111786969,297.7589752,4.28750763,9.836922028e-06,0.0002523276984
1.136078191,297.8157224,3.534048276,9.613269881e-07,0.0003780047465
1.155490437,297.8602858,2.702665872,2.297334159e-07,0.0004785176073
1.169355958,297.891389,2.001207586,2.998792414e-07,0.0005168967851
1.183221479,297.9215439,1.324065135,3.675934865e-07,0.000444656185
1.194722439,297.9458062,0.8724854031,4.127514597e-07,0.0003386408142
1.208924862,297.9750381,0.4856531826,4.514346817e-07,0.0002112398339
1.223127284,298.0036818,0.2564213942,4.743578606e-07,0.0001191157088
1.237329706,298.0318614,0.131340564,4.868659436e-07,6.318533164e-05
1.251544314,298.0596497,0.0663937159,4.933606284e-07,3.240705362e-05
1.267404862,298.0901875,0.03114540661,4.968854593e-07,1.518024746e-05
1.284687429,298.1229151,0.01408884027,4.98591116e-07,6.73870515e-06
1.301969996,298.1550815,0.006838896456,4.993161104e-07,3.157140087e-06
1.319252562,298.1866968,0.003741763262,4.996258237e-07,1.639242084e-06
1.336535129,298.2177704,0.002414343997,4.997585656e-07,9.853491138e-07
1.351760488,298.2447037,0.001902568716,4.998097431e-07,7.167940494e-07
1.361030251,298.2609026,0.001860187791,9.427847088e-07,6.613428447e-07
1.367698811,298.272466,0.002333964875,2.012443597e-06,7.917257902e-07
1.378980625,298.2918663,0.005112798176,5.537073885e-06,1.58393884e-06
1.387693068,298.3067167,0.009873858542,9.964530647e-06,2.818759614e-06
1.397800766,298.323813,0.01953652529,1.723891338e-05,4.991588813e-06
