time,source.i_ref,source.i_sim,source.i_relerr,load.i_ref,load.i_sim,load.i_relerr,lightningImpulseCurrent.v_ref,lightningImpulseCurrent.v_sim,lightningImpulseCurrent.v_relerr
0,-0,-0,0,0,0,0,-0,0,0
1e-06,-0.18650971,-0.1865091233,5.17094e-11,0,9.422356849e-16,1.50955e-19,-0,1.251854464e-33,9.85781e-40
2e-06,-0.65503681,-0.6550364936,2.78834e-11,0,8.767076994e-15,1.40456e-18,0,-2.145701662e-28,1.68965e-34
3.0000001e-06,-1.1991674,-1.199167883,4.25572e-11,0,-2.866157536e-15,4.59184e-19,0,-1.262177448e-28,9.9391e-35
4e-06,-1.6426846,-1.642685374,6.81781e-11,0,-2.901894251e-14,4.64909e-18,-0,5.048709793e-29,3.97564e-35
4.9999999e-06,-1.9480509,-1.948051184,2.50322e-11,0,5.119598619e-15,8.20205e-19,-0,1.767048428e-27,1.39147e-33
6.0000002e-06,-2.2075748,-2.207574294,4.45574e-11,0,1.479688603e-14,2.37059e-18,-0,-7.068193711e-28,5.56589e-34
7.0000001e-06,-2.5374961,-2.537490151,5.24337e-10,0,2.702727948e-14,4.33001e-18,0,-6.058451752e-28,4.77077e-34
8e-06,-2.9722192,-2.972212955,5.50398e-10,0,9.339848584e-14,1.49633e-17,0,-8.077935669e-28,6.36102e-34
9.0000003e-06,-3.4457135,-3.445720494,6.16462e-10,0,5.277071489e-14,8.45434e-18,0,-1.21169035e-27,9.54153e-34
9.9999997e-06,-3.8640654,-3.864085864,1.80367e-09,0,9.016136556e-14,1.44447e-17,0,-1.615587134e-27,1.2722e-33
1.1e-05,-4.1943798,-4.19439528,1.36437e-09,0,5.557568041e-14,8.90372e-18,0,3.029225876e-28,2.38538e-34
1.2e-05,-4.4888444,-4.488834813,8.44998e-10,0,3.24955186e-14,5.20607e-18,0,-1.312664546e-27,1.03367e-33
1.3e-05,-4.8285832,-4.828551996,2.75026e-09,0,4.368576995e-14,6.99885e-18,-0,-6.058451752e-28,4.77077e-34
1.4e-05,-5.2457495,-5.245724965,2.16248e-09,0,4.7249402e-14,7.56977e-18,-0,1.696366491e-26,1.33581e-32
1.5e-05,-5.6972995,-5.697309342,8.6747e-10,0,-5.938893171e-14,9.51463e-18,-0,1.615587134e-27,1.2722e-33
1.6e-05,-6.1107545,-6.110793845,3.46772e-09,0,-1.639212901e-13,2.62616e-17,0,6.462348536e-27,5.08882e-33
1.7e-05,-6.4543109,-6.454342778,2.8096e-09,0,-6.736748188e-14,1.07929e-17,0,1.817535526e-27,1.43123e-33
1.8000001e-05,-6.764246,-6.764237647,7.36186e-10,0,3.166128364e-14,5.07242e-18,-0,0,0
1.8999999e-05,-7.106627,-7.106580907,4.06252e-09,0,-1.965355883e-13,3.14867e-17,-0,0,0
1.9999999e-05,-7.5131259,-7.513085507,3.56007e-09,0,-2.387607914e-13,3.82516e-17,-0,-2.423380701e-27,1.90831e-33
2.1e-05,-7.9528208,-7.952828324,6.63183e-10,0,8.265507192e-14,1.32421e-17,-0,-3.231174268e-27,2.54441e-33
2.2e-05,-8.3647003,-8.364751015,4.46982e-09,0,2.139287934e-14,3.42733e-18,-0,9.693522803e-27,7.63323e-33
2.3000001e-05,-8.7171021,-8.717148697,4.10695e-09,0,-2.833506564e-13,4.53953e-17,-0,8.077935669e-28,6.36102e-34
2.4000001e-05,-9.0365076,-9.036503432,3.67321e-10,0,-1.52318854e-13,2.44028e-17,-0,-1.615587134e-27,1.2722e-33
2.4999999e-05,-9.3797684,-9.379712055,4.96606e-09,0,-1.139967428e-13,1.82633e-17,-0,1.615587134e-27,1.2722e-33
2.6e-05,-9.7786026,-9.778549404,4.68856e-09,0,1.466550221e-13,2.34954e-17,-0,-3.231174268e-27,2.54441e-33
