time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0,4.9990002,4.9990002,1.45779e-13
0.0005,5.156022591,5.156022693,1.01896e-08
0.001,5.31289002,5.312890241,2.21156e-08
0.0015,5.469447816,5.469447484,3.31438e-08
0.002,5.62554106,5.62554042,6.39889e-08
0.0025,5.781016122,5.7810154,7.2192e-08
0.003,5.935719429,5.935719135,2.94078e-08
0.0035,6.089498307,6.089498691,3.83278e-08
0.004,6.242200983,6.24220149,5.06931e-08
0.0045,6.393676795,6.396254509,0.000257823
0.005,6.543776217,6.550291612,0.00065167
0.0055,6.692351131,6.701989783,0.000964058
0.006,6.839254912,6.851250942,0.00119984
0.0065,6.984342585,6.997979129,0.00136393
0.007,7.127470964,7.142080503,0.00146125
0.0075,7.268498799,7.283463344,0.00149675
0.008,7.407286913,7.422038052,0.00147541
0.0085,7.543698339,7.557717147,0.00140216
0.009,7.677598455,7.690415269,0.00128194
0.0095,7.808855118,7.820049177,0.00111963
0.01,7.937338735,7.946537753,0.000920086
0.0105,8.062922684,8.069801996,0.000688069
0.011,8.185482852,8.189765026,0.000428303
0.0115,8.304898347,8.306352083,0.000145403
0.012,8.421051319,8.419490528,0.00015611
0.0125,8.533827141,8.529109842,0.000471824
0.013,8.643114514,8.635141623,0.000797449
0.0135,8.748805587,8.737519593,0.00112883
0.014,8.850796055,8.836179592,0.00146194
0.0145,8.948985265,8.931059581,0.00179293
0.015,9.043276317,9.022099641,0.00211809
0.0155,9.133576156,9.10924197,0.00243391
0.016,9.219795668,9.192430892,0.00273702
0.0165,9.301849765,9.271612845,0.0030243
0.017,9.379657469,9.346736392,0.00329277
0.0175,9.453141993,9.417752211,0.00353969
0.018,9.522230742,9.484613106,0.00376252
0.0185,9.586855757,9.547273995,0.00395897
0.019,9.646953039,9.605691921,0.00412694
0.0195,9.702463352,9.659826043,0.00426458
0.02,9.753331915,9.709637644,0.0043703
0.0205,9.799508527,9.755090125,0.00444273
0.021,9.840947616,9.796149005,0.00448076
0.0215,9.877608288,9.832781927,0.00448353
0.022,9.909454363,9.864958651,0.00445046
0.0225,9.936454412,9.89265106,0.00438121
0.023,9.95858179,9.915833154,0.00427572
0.0235,9.97581466,9.934481054,0.00413419
0.024,9.988136015,9.948573002,0.00395709
0.0245,9.995533695,9.958089359,0.00374518
0.025,9.9980004,9.963012607,0.00349948
0.0255,9.995533695,9.963327348,0.00322128
0.026,9.988136181,9.959020302,0.00291217
0.0265,9.97581466,9.950080312,0.00257395
0.027,9.95858179,9.936498339,0.00220879
0.0275,9.936454412,9.918267466,0.00181906
0.028,9.909454363,9.895382892,0.00140743
0.0285,9.877608288,9.867841942,0.00097683
0.029,9.840947616,9.835644055,0.000530462
0.0295,9.799508527,9.798790795,7.17875e-05
0.03,9.753331915,9.757285843,0.000395472
0.0305,9.702463352,9.711135002,0.000867338
0.031,9.646953039,9.660346192,0.00133958
0.0315,9.586855757,9.604929457,0.00180773
0.032,9.522230816,9.544896958,0.00226707
0.0325,9.453141993,9.480262978,0.00271264
0.033,9.379657469,9.411043919,0.00313927
0.0335,9.301849765,9.337258303,0.00354156
0.034,9.219795668,9.258926773,0.00391389
