time,vOut.v_ref,vOut.v_sim,vOut.v_relerr
0,-4.999333422,-4.999333422,0
0.0005,-4.842300565,0.9909523972,0.583403
0.001,-4.685422679,4.656341196,0.934301
0.0015,-4.528854586,3.674230346,0.820418
0.002,-4.372750799,-4.27339626,0.00993678
0.0025,-4.217265373,-15,1.07842
0.003,-4.062551754,-15,1.09389
0.0035,-3.908762625,-15,1.10927
0.004,-3.756049758,-15,1.12454
0.0045,-3.604563861,-15,1.1397
0.005,-3.454454434,-15,1.15471
0.0055,-3.305869616,-15,1.16957
0.006,-3.158956042,-15,1.18426
0.0065,-3.013858699,-15,1.19877
0.007,-2.870720779,-15,1.21309
0.0075,-2.729683543,-15,1.2272
0.008,-2.590886178,-15,1.24108
0.0085,-2.454465659,-15,1.25472
0.009,-2.320556618,-15,1.26811
0.0095,-2.189291205,-15,1.28124
0.01,-2.060798965,-15,1.29409
0.0105,-1.935206704,-15,1.30665
0.011,-1.812638366,-15,1.31891
0.0115,-1.693214911,-15,1.33086
0.012,-1.577054196,-15,1.34247
0.0125,-1.464270858,-15,1.35375
0.013,-1.354976199,-15,1.36468
0.0135,-1.249278081,-15,1.37526
0.014,-1.147280815,-15,1.38546
0.0145,-1.04908506,-15,1.39528
0.015,-0.9547877231,-15,1.40471
0.0155,-0.8644818644,-15,1.41374
0.016,-0.7782566049,-15,1.42236
0.0165,-0.6961970387,-15,1.43057
0.017,-0.6183841486,-15,1.43835
0.0175,-0.5448947264,-15,1.4457
0.018,-0.4758012975,-15,1.45261
0.0185,-0.4111720486,-15,1.45908
0.019,-0.3510707611,-15,1.46509
0.0195,-0.2955567477,-15,1.47064
0.02,-0.2446847939,-15,1.47573
0.0205,-0.1985051043,-15,1.48035
0.021,-0.1570632526,-15,1.48449
0.0215,-0.120400137,-15,1.48816
0.022,-0.08855193943,-15,1.49134
0.0225,-0.06155009034,-15,1.49404
0.023,-0.03942123726,-15,1.49626
0.0235,-0.02218721869,-15,1.49798
0.024,-0.009865042523,-15,1.49921
0.0245,-0.002466869256,-15,1.49995
0.025,0,-15,1.5002
0.0255,-0.002466869256,-15,1.49995
0.026,-0.009865042523,-15,1.49921
0.0265,-0.02218721869,-15,1.49798
0.027,-0.03942123726,-15,1.49626
0.0275,-0.06155009034,-15,1.49404
0.028,-0.08855193943,-15,1.49134
0.0285,-0.120400137,-15,1.48816
0.029,-0.1570632526,-15,1.48449
0.0295,-0.1985051043,-15,1.48035
0.03,-0.2446847939,-15,1.47573
0.0305,-0.2955567477,-15,1.47064
0.031,-0.3510707611,-15,1.46509
0.0315,-0.4111720486,-15,1.45908
0.032,-0.4758012975,-15,1.45261
0.0325,-0.5448947264,-15,1.4457
0.033,-0.6183841486,-15,1.43835
0.0335,-0.6961970387,-15,1.43057
0.034,-0.7782566049,-15,1.42236
0.0345,-0.8644818644,-15,1.41374
0.035,-0.9547877231,-15,1.40471
0.0355,-1.04908506,-15,1.39528
0.036,-1.147280815,-15,1.38546
0.0365,-1.249278081,-15,1.37526
0.037,-1.354976199,-15,1.36468
0.0375,-1.464270858,-15,1.35375
0.038,-1.577054196,-15,1.34247
0.0385,-1.693214911,-15,1.33086
0.039,-1.812638366,-15,1.31891
0.0395,-1.935206704,-15,1.30665
0.04,-2.060798965,-15,1.29409
0.0405,-2.189291205,-15,1.28124
0.041,-2.320556618,-15,1.26811
0.0415,-2.454465659,-15,1.25472
0.042,-2.590886178,-15,1.24108
0.0425,-2.729683543,-15,1.2272
0.043,-2.870720779,-15,1.21309
0.0435,-3.013858699,-15,1.19877
0.044,-3.158956042,-15,1.18426
0.0445,-3.305869616,-15,1.16957
0.045,-3.454454434,-15,1.15471
0.0455,-3.604563861,-15,1.1397
0.046,-3.756049758,-15,1.12454
0.0465,-3.908762625,-15,1.10927
0.047,-4.062551754,-15,1.09389
0.0475,-4.217265373,-15,1.07842
0.048,-4.372750799,-15,1.06287
0.0485,-4.528854586,-15,1.04725
0.049,-4.685422679,-15,1.0316
0.0495,-4.842300565,-15,1.01591
0.05,-4.999333422,-15,1.0002
0.0505,-5.15636628,-15,0.984495
0.051,-5.313244165,-15,0.968805
0.0515,-5.469812258,-15,0.953146
0.052,-5.625916046,-15,0.937533
0.0525,-5.781401472,-15,0.921983
0.053,-5.936115091,-15,0.906509
0.0535,-6.08990422,-15,0.891128
0.054,-6.242617087,-15,0.875855
0.0545,-6.394102983,-15,0.860704
0.055,-6.54421241,-15,0.845692
0.0555,-6.692797228,-15,0.830831
0.056,-6.839710802,-15,0.816138
0.0565,-6.984808145,-15,0.801626
0.057,-7.127946065,-15,0.78731
0.0575,-7.268983301,-15,0.773205
0.058,-7.407780666,-15,0.759323
0.0585,-7.544201185,-15,0.745679
0.059,-7.678110227,-15,0.732287
0.0595,-7.809375639,-15,0.719158
0.06,-7.937867879,-15,0.706307
0.0605,-8.06346014,-15,0.693746
0.061,-8.186028478,-15,0.681488
0.0615,-8.305451933,-15,0.669544
0.062,-8.421612648,-15,0.657926
0.0625,-8.534395986,-15,0.646647
0.063,-8.643690645,-15,0.635716
0.0635,-8.749388763,-15,0.625144
0.064,-8.851386029,-15,0.614943
0.0645,-8.949581784,-15,0.605122
0.065,-9.043879121,-15,0.595692
0.0655,-9.13418498,-15,0.58666
0.066,-9.220410239,-15,0.578036
0.0665,-9.302469806,-15,0.569829
0.067,-9.380282696,-15,0.562047
0.0675,-9.453772118,-15,0.554697
0.068,-9.522865547,-15,0.547786
0.0685,-9.587494796,-15,0.541323
0.069,-9.647596083,-15,0.535312
0.0695,-9.703110097,-15,0.52976
0.07,-9.753982051,-15,0.524672
0.0705,-9.80016174,-15,0.520053
0.071,-9.841603592,-15,0.515908
0.0715,-9.878266707,-15,0.512242
0.072,-9.910114905,-15,0.509056
0.0725,-9.937116754,-15,0.506356
0.073,-9.959245607,-15,0.504143
0.0735,-9.976479626,-15,0.502419
0.074,-9.988801802,-15,0.501187
0.0745,-9.996199975,-15,0.500447
0.075,-9.998666844,-15,0.5002
0.0755,-9.996199975,-15,0.500447
0.076,-9.988801802,-15,0.501187
0.0765,-9.976479626,-15,0.502419
0.077,-9.959245607,-15,0.504143
0.0775,-9.937116754,-15,0.506356
0.078,-9.910114905,-15,0.509056
