time,feedback.opAmp.v_in,feedback.r3.i,feedback.r4.i
0,0.0003332888948,0.002499666711,0.0025
0.001,0.0003123615012,0.002185734879,0.0025
0.002,0.0002915167571,0.001873042873,0.0025
0.003,0.0002708367902,0.001562822689,0.0025
0.004,0.0002504033089,0.001256300038,0.0025
0.005,0.00022985121,0.0009479980012,0.0025
0.006,0.0002098689158,0.0006482436063,0.0025
0.007,0.000190537042,0.0003582461677,0.0025
0.008,0.0001719072567,7.878075728e-05,0.0025
0.009,0.0001540289574,-0.0001894116095,0.0025
0.01,0.0001369492718,-0.0004456239736,0.0025
0.011,0.000120713057,-0.0006891834325,0.0025
0.012,0.0001053628998,-0.0009194511401,0.0025
0.013,9.093911695e-05,-0.001135822307,0.0025
0.014,7.747975477e-05,-0.001337726199,0.0025
0.015,6.502058932e-05,-0.00152462614,0.0025
0.016,5.35951264e-05,-0.001696019509,0.0025
0.017,4.323460154e-05,-0.001851437742,0.0025
0.018,3.396797997e-05,-0.001990446332,0.0025
0.019,2.582195666e-05,-0.002112644828,0.0025
0.02,1.882095629e-05,-0.002217666835,0.0025
0.021,1.298713329e-05,-0.002305180014,0.0025
0.022,8.340371769e-06,-0.002374886083,0.0025
0.023,4.8982856e-06,-0.002426520818,0.0025
0.024,2.676218359e-06,-0.002459854048,0.0025
0.025,1.687243348e-06,-0.002474689663,0.0025
0.026,1.942163594e-06,-0.002470865604,0.0025
0.027,3.449511845e-06,-0.002448253873,0.0025
0.028,6.215550572e-06,-0.002406760526,0.0025
0.029,1.024427197e-05,-0.002346325676,0.0025
0.03,1.553739796e-05,-0.002266923493,0.0025
0.031,2.209438018e-05,-0.002168562203,0.0025
0.032,2.991239999e-05,-0.002051284088,0.0025
0.033,3.898636848e-05,-0.001915165486,0.0025
0.034,4.930892646e-05,-0.001760316794,0.0025
0.035,6.087044447e-05,-0.001586882463,0.0025
0.036,7.365902275e-05,-0.001395041,0.0025
0.037,8.766049128e-05,-0.00118500497,0.0025
0.038,0.0001028584098,-0.0009570209949,0.0025
0.039,0.0001192340677,-0.0007113697511,0.0025
0.04,0.0001367664841,-0.0004483659726,0.0025
0.041,0.0001556715967,-0.0001647703785,0.0025
0.042,0.0001753872316,0.0001309838613,0.0025
0.043,0.0001954351567,0.0004317227856,0.0025
0.044,0.0002157401389,0.0007363178239,0.0025
0.045,0.0002362289074,0.00104366984,0.0025
0.046,0.0002568301535,0.001352709132,0.0025
0.047,0.0002774745306,0.001662395434,0.0025
0.048,0.0002980946545,0.001971717912,0.0025
0.049,0.000318625103,0.00227969517,0.0025
0.05,0.000339002416,0.002585375242,0.0025
0.051,0.0003591650957,0.002887835601,0.0025
0.052,0.0003790536066,0.003186183152,0.0025
0.053,0.000398610375,0.003479554236,0.0025
0.054,0.0004177797897,0.003767114626,0.0025
0.055,0.0004365082016,0.004048059532,0.0025
0.056,0.0004547439236,0.004321613598,0.0025
0.057,0.0004724372309,0.004587030901,0.0025
0.058,0.000489540361,0.004843594956,0.0025
0.059,0.0005060075134,0.005090618708,0.0025
0.06,0.0005217948497,0.00532744454,0.0025
0.061,0.0005368604938,0.005553444268,0.0025
0.062,0.0005511645319,0.005768019143,0.0025
0.063,0.000564669012,0.005970599849,0.0025
0.064,0.0005773379447,0.006160646508,0.0025
0.065,0.0005891373024,0.006337648674,0.0025
0.066,0.00060003502,0.006501125334,0.0025
0.067,0.0006100009942,0.006650624914,0.0025
0.068,0.0006190070842,0.00678572527,0.0025
0.069,0.0006270271112,0.006906033696,0.0025
0.07,0.0006340368587,0.007011186918,0.0025
0.071,0.0006400140722,0.007100851097,0.0025
0.072,0.0006449384595,0.007174721831,0.0025
0.073,0.0006487916905,0.007232524149,0.0025
0.074,0.0006515573972,0.007274012516,0.0025
0.075,0.0006532211741,0.007298970833,0.0025
0.076,0.0006537705775,0.007307212433,0.0025
0.077,0.000653195126,0.007298580085,0.0025
0.078,0.0006514863004,0.007272945992,0.0025
0.079,0.0006486375436,0.007230211792,0.0025
0.08,0.0006446442609,0.007170308557,0.0025
0.081,0.0006395038194,0.007093196794,0.0025
0.082,0.0006332155486,0.006998866445,0.0025
0.083,0.0006257807402,0.006887336884,0.0025
0.084,0.000617202648,0.006758656923,0.0025
0.085,0.0006074864879,0.006612904806,0.0025
0.086,0.0005966394382,0.006450188212,0.0025
0.087,0.000584670639,0.006270644256,0.0025
0.088,0.000571591193,0.006074439486,0.0025
0.089,0.0005574141647,0.005861769885,0.0025
0.09,0.000542154581,0.00563286087,0.0025
0.091,0.0005258294309,0.005387967293,0.0025
0.092,0.0005084576656,0.005127373442,0.0025
0.093,0.0004900601984,0.004851393036,0.0025
0.094,0.0004706599048,0.004560369231,0.0025
0.095,0.0004502816225,0.004254674618,0.0025
0.096,0.0004289521513,0.003934711222,0.0025
0.097,0.0004067002533,0.0036009105,0.0025
0.098,0.0003835566527,0.003253733348,0.0025
0.099,0.0003595540359,0.002893670092,0.0025
0.1,0.0003347270513,0.002521240496,0.0025
0.101,0.0003121393884,0.002182402965,0.0025
0.102,0.0002910667937,0.001866292972,0.0025
0.103,0.0002702702839,0.001554324529,0.0025
0.104,0.0002498187449,0.001247530992,0.0025
0.105,0.0002297789563,0.0009469141235,0.0025
0.106,0.000210215592,0.0006534440954,0.0025
0.107,0.0001911912197,0.0003680594865,0.0025
0.108,0.0001727663012,9.166728357e-05,0.0025
0.109,0.0001549991921,-0.0001748571191,0.0025
0.11,0.0001379461423,-0.0004306699194,0.0025
0.111,0.0001216612954,-0.0006749589076,0.0025
0.112,0.0001061966891,-0.0009069434661,0.0025
0.113,9.16022552e-05,-0.00112587457,0.0025
0.114,7.792581923e-05,-0.001331034786,0.0025
