time,Inductor2.i_ref,Inductor2.i_sim,Inductor2.i_relerr,Inductor3.i_ref,Inductor3.i_sim,Inductor3.i_relerr
0,0,0,0,0,0,0
5e-06,-0.5661854519,-0.566185467,1.29027e-11,0.5651840374,0.5651840525,1.75913e-11
1e-05,-0.5666963434,-0.5662108956,4.14572e-07,0.5646688922,0.5641709998,5.80734e-07
1.5e-05,-0.5672059747,-0.5618004599,4.6163e-06,0.5641524912,0.5596644867,5.23474e-06
2e-05,-0.5677141421,-0.5597792794,6.77636e-06,0.5636346343,0.5580781802,6.48096e-06
2.5e-05,-0.5682209076,-0.5620317741,5.28551e-06,0.5631153863,0.5594446333,4.28151e-06
2.968334706e-05,-0.5686943025,-0.5686942756,2.29579e-11,0.5626277571,0.5626277408,1.89221e-11
2.968334706e-05,-0.5686943025,-0.5686942756,2.29579e-11,0.5626277571,0.5626277408,1.89221e-11
3e-05,-0.568754302,-0.568754753,3.85093e-10,0.5626087587,0.5626089841,2.62843e-10
3.5e-05,-0.5705604147,-0.5705605616,1.25426e-10,0.5627377858,0.5627378789,1.08639e-10
4e-05,-0.5724020535,-0.5724023025,2.12673e-10,0.5628839005,0.5628840554,1.8058e-10
4.5e-05,-0.5742397364,-0.5742398256,7.61542e-11,0.5630273909,0.5630274402,5.74564e-11
5e-05,-0.5760731135,-0.576073127,1.14884e-11,0.5631680262,0.5631680334,8.34503e-12
5.5e-05,-0.5779022206,-0.577902203,1.49987e-11,0.5633058463,0.563305835,1.30815e-11
6e-05,-0.5797270635,-0.5797270501,1.14125e-11,0.5634408541,0.5634408453,1.03213e-11
6.5e-05,-0.5815476623,-0.5815476645,1.88391e-12,0.5635730641,0.5635730641,8.81724e-14
7e-05,-0.5833640386,-0.5833640425,3.32778e-12,0.5637024918,0.5637024917,1.41446e-13
7.5e-05,-0.5851761789,-0.5851761805,1.39422e-12,0.5638291275,0.5638291281,6.69538e-13
8e-05,-0.586984065,-0.5869840749,8.39056e-12,0.5639529729,0.5639529734,5.3528e-13
8.5e-05,-0.5887877038,-0.5887877219,1.54305e-11,0.5640740274,0.5640740277,3.71845e-13
9e-05,-0.5905870958,-0.5905871181,1.90074e-11,0.5641922909,0.5641922912,3.63848e-13
9.5e-05,-0.5923822409,-0.5923822597,1.60252e-11,0.5643077633,0.5643077639,6.43919e-13
0.0001,-0.5941731391,-0.5939365599,2.02038e-07,0.5644204448,0.5642513196,1.97265e-07
0.000105,-0.5959597304,-0.5813469956,1.24792e-05,0.5645303375,0.5549817396,1.11373e-05
0.00011,-0.5977420518,-0.5701496924,2.35638e-05,0.5646374401,0.5475823829,1.98928e-05
0.000115,-0.5995201055,-0.5637091486,3.05825e-05,0.5647417524,0.543407078,2.48844e-05
0.00012,-0.6012938913,-0.5639801823,3.18658e-05,0.5648432746,0.5431623109,2.52883e-05
0.000125,-0.6030634093,-0.5715079309,2.69483e-05,0.5649420065,0.546907225,2.10355e-05
0.00013,-0.6048286595,-0.5854278517,1.65683e-05,0.5650379482,0.5540536214,1.2812e-05
0.000135,-0.6065896419,-0.6034657215,2.66782e-06,0.5651310997,0.5633659585,2.05883e-06
0.0001359052726,-0.6069080194,-0.6069079212,8.3863e-11,0.5651476668,0.56514752,1.71249e-10
0.0001359052726,-0.6069080194,-0.6069079212,8.3863e-11,0.5651476668,0.56514752,1.71249e-10
0.00014,-0.6100940916,-0.6100945108,3.57963e-10,0.5670697081,0.5670701245,4.85713e-10
0.000145,-0.6188233901,-0.618824372,8.38532e-10,0.5742614839,0.5742624657,1.14518e-09
0.00015,-0.6328220357,-0.632822988,8.1324e-10,0.5867227193,0.5867236717,1.11078e-09
0.000155,-0.652030787,-0.652031636,7.25062e-10,0.6043941744,0.6043950234,9.90264e-10
0.00016,-0.676390706,-0.6763915302,7.03809e-10,0.6272169147,0.6272177388,9.61263e-10
0.000165,-0.7058430512,-0.7058438224,6.58637e-10,0.6551322024,0.6551329737,8.99558e-10
0.00017,-0.7403288093,-0.7403295989,6.74285e-10,0.6880810283,0.6880818178,9.20929e-10
0.000175,-0.7797890508,-0.7797899019,7.26897e-10,0.7260044663,0.7260053174,9.92792e-10
0.00018,-0.8241647555,-0.8241656966,8.03629e-10,0.7688435004,0.7688444414,1.09759e-09
0.000185,-0.8733968011,-0.8733978916,9.31292e-10,0.8165390117,0.8165401022,1.27195e-09
0.00019,-0.9274259405,-0.9274273414,1.19634e-09,0.8690317572,0.8690331581,1.63396e-09
0.000195,-0.9861930686,-0.986194846,1.51794e-09,0.9262626355,0.926264413,2.07319e-09
0.0002,-1.049638981,-1.049641151,1.85304e-09,0.9881724465,0.9881746163,2.53087e-09
0.000205,-1.117704291,-1.117706949,2.26929e-09,1.054701806,1.054704463,3.09939e-09
0.00021,-1.190329877,-1.190332875,2.56012e-09,1.125791597,1.125794595,3.4966e-09
0.000215,-1.267456263,-1.267459514,2.77637e-09,1.201382347,1.201385598,3.79194e-09
0.00022,-1.34902373,-1.349027393,3.12777e-09,1.281414342,1.281418004,4.27189e-09
0.000225,-1.434973097,-1.434976941,3.28253e-09,1.365828403,1.365832247,4.48325e-09
0.00023,-1.525244623,-1.525248685,3.46848e-09,1.454564794,1.454568856,4.73723e-09
0.000235,-1.619778594,-1.619782997,3.7605e-09,1.547563804,1.547568207,5.13606e-09
0.00024,-1.7185156,-1.718520191,3.92042e-09,1.644766028,1.644770619,5.35449e-09
0.000245,-1.82139568,-1.82140054,4.15075e-09,1.746111507,1.746116367,5.66908e-09
0.00025,-1.928359144,-1.928364279,4.38491e-09,1.851540556,1.851545691,5.9889e-09
0.000255,-2.039346382,-2.039351601,4.45688e-09,1.960993569,1.960998788,6.08719e-09
0.00026,-2.154297202,-2.154302662,4.66305e-09,2.074410357,2.074415818,6.36878e-09
0.000265,-2.27315194,-2.273157577,4.81416e-09,2.19173126,2.191736898,6.57517e-09
0.00027,-2.395850768,-2.395856421,4.82766e-09,2.312896455,2.312902108,6.5936e-09
0.000275,-2.522333497,-2.52233923,4.89599e-09,2.437845754,2.437851487,6.68692e-09
0.00028,-2.652540229,-2.652546,4.92858e-09,2.566519265,2.566525036,6.73142e-09
0.000285,-2.786410925,-2.786416687,4.92088e-09,2.698856953,2.698862715,6.7209e-09
0.00029,-2.923885508,-2.923891209,4.86801e-09,2.834798744,2.834804444,6.64868e-09
0.000295,-3.064903862,-3.064909441,4.76472e-09,2.974284524,2.974290103,6.5076e-09
0.0003,-3.209405808,-3.209411222,4.62365e-09,3.117254121,3.117259535,6.31492e-09
0.000305,-3.357331123,-3.357336349,4.46258e-09,3.263647315,3.26365254,6.09493e-09
0.00031,-3.508619577,-3.50862458,4.27223e-09,3.413403878,3.413408881,5.83497e-09
0.000315,-3.663210882,-3.663215528,3.96758e-09,3.566463527,3.566468173,5.41888e-09
0.00032,-3.821044709,-3.821049006,3.66961e-09,3.722765938,3.722770235,5.0119e-09
0.000325,-3.98206069,-3.982064842,3.54526e-09,3.882250744,3.882254896,4.84206e-09
0.00033,-4.146198679,-4.146202627,3.37162e-09,4.044857805,4.044861753,4.60492e-09
0.000335,-4.313398208,-4.313401938,3.1859e-09,4.210526655,4.210530386,4.35128e-09
0.00034,-4.483598804,-4.483602332,3.01282e-09,4.379196828,4.379200356,4.11491e-09
0.000345,-4.656740002,-4.656743348,2.85759e-09,4.550807859,4.550811205,3.90291e-09
0.00035,-4.832761299,-4.832764507,2.73916e-09,4.725299251,4.725302458,3.74118e-09
0.000355,-5.01160221,-5.011605309,2.64698e-09,4.902610521,4.902613621,3.6153e-09
0.00036,-5.193202461,-5.193205241,2.37361e-09,5.082681401,5.082684181,3.24194e-09
0.000365,-5.377501337,-5.377503766,2.07409e-09,5.265451179,5.265453608,2.83287e-09
0.00037,-5.564438259,-5.564440333,1.77106e-09,5.450859278,5.450861352,2.41899e-09
0.000375,-5.753952618,-5.753954369,1.49582e-09,5.638845096,5.638846847,2.04306e-09
0.00038,-5.945983778,-5.945985287,1.28839e-09,5.829347998,5.829349507,1.75974e-09
0.000385,-6.140471235,-6.140472478,1.06106e-09,6.022307485,6.022308728,1.44923e-09
0.00039,-6.337354433,-6.337355316,7.5377e-10,6.217663005,6.217663887,1.02952e-09
0.000395,-6.536572601,-6.536573157,4.75038e-10,6.415353789,6.415354345,6.48801e-10
0.0004,-6.738065047,-6.738065338,2.4855e-10,6.615319151,6.615319442,3.39438e-10
0.000405,-6.941771059,-6.941771178,1.01821e-10,6.817498382,6.817498501,1.39008e-10
0.00041,-7.147629901,-7.147629979,6.6191e-11,7.02183075,7.021830827,9.03197e-11
0.000415,-7.355581085,-7.355581021,5.41415e-11,7.228255769,7.228255706,7.40458e-11
0.00042,-7.565563781,-7.565563571,1.79768e-10,7.436712616,7.436712405,2.45631e-10
0.000425,-7.777517209,-7.777516872,2.87597e-10,7.647140512,7.647140175,3.92891e-10
0.00043,-7.991380598,-7.991380154,3.79516e-10,7.85947869,7.859478246,5.18402e-10
0.000435,-8.20709316,-8.207092624,4.58058e-10,8.073666368,8.073665831,6.25618e-10
0.00044,-8.424594137,-8.424592977,9.90362e-10,8.289642788,8.289641629,1.35269e-09
0.000445,-8.643822924,-8.643821298,1.38805e-09,8.507347352,8.507345727,1.89588e-09
0.00045,-8.86471863,-8.864716793,1.56885e-09,8.726719173,8.726717336,2.14283e-09
0.000455,-9.087220471,-9.087218593,1.60402e-09,8.947697468,8.94769559,2.19084e-09
0.00046,-9.311267655,-9.311265837,1.5526e-09,9.170221451,9.170219633,2.12057e-09
0.000465,-9.536799389,-9.536797677,1.46222e-09,9.394230332,9.39422862,1.99708e-09
0.00047,-9.763754876,-9.763753272,1.36992e-09,9.619663317,9.619661713,1.87097e-09
0.000475,-9.992073316,-9.99207179,1.30295e-09,9.846459611,9.846458086,1.77945e-09
0.00048,-10.22169391,-10.22169241,1.27959e-09,10.07455842,10.07455692,1.74749e-09
0.000485,-10.45255585,-10.45255432,1.30991e-09,10.30389894,10.30389741,1.78884e-09
0.00049,-10.68459835,-10.68459672,1.39661e-09,10.53442038,10.53441875,1.90722e-09
0.000495,-10.91776061,-10.91775881,1.53584e-09,10.76606195,10.76606015,2.09734e-09
0.0005,-11.15198189,-11.15197981,1.77701e-09,10.99876292,10.99876084,2.42671e-09
0.000505,-11.38720139,-11.38719895,2.08039e-09,11.23246248,11.23246005,2.84106e-09
0.00051,-11.62335831,-11.62335546,2.43003e-09,11.46709985,11.46709701,3.31861e-09
0.000515,-11.86039188,-11.86038859,2.81181e-09,11.70261426,11.70261097,3.84005e-09
0.00052,-12.09824135,-12.09823759,3.20999e-09,11.93894495,11.93894119,4.38393e-09
0.000525,-12.33684595,-12.33684172,3.60816e-09,12.17603116,12.17602694,4.9278e-09
0.00053,-12.57614493,-12.57614026,3.99001e-09,12.41381216,12.41380749,5.44939e-09
0.000535,-12.81607758,-12.81607249,4.34023e-09,12.65222722,12.65222214,5.92778e-09
0.00054,-13.05658315,-13.05657771,4.64533e-09,12.89121561,12.89121017,6.34457e-09
0.000545,-13.29760094,-13.29759521,4.89457e-09,13.13071662,13.13071089,6.68505e-09
0.00055,-13.53907025,-13.5390643,5.08072e-09,13.37066957,13.37066362,6.93937e-09
0.000555,-13.78093038,-13.78092431,5.18023e-09,13.61101375,13.61100769,7.07536e-09
0.00056,-14.02312065,-14.02311457,5.19208e-09,13.8516885,13.85168242,7.09162e-09
0.000565,-14.26558043,-14.26557441,5.13291e-09,14.09263317,14.09262716,7.01084e-09
0.00057,-14.50824907,-14.50824319,5.01519e-09,14.33378713,14.33378126,6.85009e-09
0.000575,-14.75106596,-14.75106027,4.85898e-09,14.57508977,14.57508408,6.63672e-09
0.00058,-14.9939705,-14.993965,4.69264e-09,14.8164805,14.81647501,6.4095e-09
0.000585,-15.23690211,-15.23689678,4.55378e-09,15.05789874,15.05789341,6.21974e-09
0.00059,-15.47980024,-15.47979498,4.49001e-09,15.29928393,15.29927868,6.1325e-09
0.000595,-15.72260435,-15.72259818,5.26918e-09,15.54057555,15.54056938,7.19671e-09
0.0006,-15.96525392,-15.96524684,6.05129e-09,15.78171309,15.781706,8.26503e-09
0.000605,-16.20768848,-16.20768101,6.37303e-09,16.02263606,16.02262859,8.70451e-09
0.00061,-16.44984755,-16.44984012,6.35091e-09,16.263284,16.26327657,8.67431e-09
0.000615,-16.69167072,-16.69166359,6.0897e-09,16.5035965,16.50358937,8.3175e-09
0.00062,-16.93309757,-16.93309093,5.67013e-09,16.74351314,16.7435065,7.74438e-09
0.000625,-17.17406771,-17.17406167,5.16508e-09,16.98297355,16.9829675,7.05447e-09
0.00063,-17.41452081,-17.41451538,4.63526e-09,17.22191738,17.22191195,6.33073e-09
