time,Inductor3.i,Inductor2.i,Capacitor2.v,Capacitor1.v,IdealDiode3.i,IdealDiode2.i,IdealDiode1.i,Inductor3.v
0,0,0,282.8427125,282.8427125,-0.2828427125,-0.2828427125,-0.2828427125,282.8427125
1.165150899e-07,0.3514445031,-0.351453114,282.8407673,282.8407673,-0.1071185157,-0.4585673243,-0.2828364618,107.1144833
1.684802138e-07,0.4267379515,-0.4267539482,282.8398997,282.8398997,-0.06947092397,-0.4962168738,-0.2828319013,69.46509297
2.556960762e-07,0.4984991497,-0.4985299196,282.8384436,282.8384436,-0.0335888688,-0.5321034035,-0.2828230587,33.580019
3.429119386e-07,0.533187788,-0.5332349449,282.8369876,282.8369876,-0.01624309359,-0.54945446,-0.2828134091,16.23122478
4.336957092e-07,0.5504131009,-0.5504781371,282.8354719,282.8354719,-0.007628921507,-0.5580745405,-0.2828029538,7.613909956
5.261586412e-07,0.5585910606,-0.5586747146,282.8339283,282.8339283,-0.003538397985,-0.5621712856,-0.2827921013,3.520185327
6.210614566e-07,0.562435921,-0.562538882,282.8323439,282.8323439,-0.001614383378,-0.5641017849,-0.2827808634,1.592884894
7.176183127e-07,0.5641937559,-0.5643164542,282.8307319,282.8307319,-0.0007338539356,-0.564988959,-0.2827693827,0.7090121003
8.156282e-07,0.5649820177,-0.5651247936,282.8290956,282.8290956,-0.0003380867644,-0.5653914924,-0.2827577076,0.3098509993
9.147358411e-07,0.565327139,-0.5654902372,282.827441,282.827441,-0.0001638714806,-0.5655725596,-0.2827458919,0.1322034996
1.014825274e-06,0.5654734149,-0.5656570455,282.82577,282.82577,-8.906254654e-05,-0.5656542927,-0.2827339548,0.05392807074
1.115834531e-06,0.56553143,-0.5657357854,282.8240837,282.8240837,-5.836868842e-05,-0.5656919764,-0.282721906,0.0197355772
1.217910575e-06,0.565550619,-0.5657759199,282.8223795,282.8223795,-4.707004354e-05,-0.5657103395,-0.282709729,0.004901057495
1.3215355e-06,0.5655527738,-0.5657993389,282.8206495,282.8206495,-4.426259237e-05,-0.565720319,-0.282697367,-0.001496218592
1.427843016e-06,0.5655473405,-0.5658157205,282.8188747,282.8188747,-4.520445527e-05,-0.5657267349,-0.2826846847,-0.004237423705
1.547293146e-06,0.5655375002,-0.5658303922,282.8168805,282.8168805,-4.813039014e-05,-0.5657320766,-0.2826704345,-0.005450264462
1.682346424e-06,0.5655245921,-0.5658451981,282.8146258,282.8146258,-5.232971149e-05,-0.5657372248,-0.2826543228,-0.005930825086
1.840102173e-06,0.5655087287,-0.5658617074,282.8119921,282.8119921,-5.762769746e-05,-0.5657428458,-0.2826355027,-0.006100054313
2.029475982e-06,0.5654893774,-0.565881217,282.8088305,282.8088305,-6.41417951e-05,-0.565749439,-0.2826129106,-0.006149851092
2.266524893e-06,0.5654650504,-0.5659055344,282.804873,282.804873,-7.234776454e-05,-0.5657576401,-0.282584631,-0.006161655429
2.579719229e-06,0.5654328784,-0.5659376324,282.7996442,282.7996442,-8.320498449e-05,-0.5657684604,-0.2825472672,-0.006164346956
3.028785935e-06,0.5653867354,-0.5659836413,282.792147,282.792147,-9.877937119e-05,-0.5657839677,-0.2824936941,-0.006165977706
3.763410922e-06,0.5653112256,-0.5660588824,282.7798825,282.7798825,-0.0001242697346,-0.5658093237,-0.2824060541,-0.006168440067
5.302635226e-06,0.5651529159,-0.5662164335,282.7541853,282.7541853,-0.0001777272894,-0.565862402,-0.2822224265,-0.006173592087
1.021711454e-05,0.5646465761,-0.566718581,282.6721383,282.6721383,-0.000348850308,-0.5660314288,-0.2816361359,-0.006190032019
2.935560061e-05,0.5626619178,-0.5686612118,282.3526229,282.3526229,-0.001021663975,-0.5666832288,-0.2793529759,-0.006253913149
2.968336101e-05,0.5626277517,-0.5686943019,282.347151,282.347151,-0.001033275081,-0.5666943019,-0.2793138759,-0.006255005328
2.968336101e-05,0.5626277517,-0.5686943019,282.347151,282.347151,-0.001033275081,-0.5666943019,-0.2793138759,-0.006255005328
3.019561218e-05,0.5626064486,-0.5688102185,282.338599,282.338599,-0.001035374671,-0.5666771981,-0.279236714,-0.0001398407671
3.043012035e-05,0.5626079125,-0.5688857227,282.3346839,282.3346839,-0.001030727657,-0.566669368,-0.2791957787,0.0007886374818
3.083263614e-05,0.5626158984,-0.5690262737,282.3279639,282.3279639,-0.001020014735,-0.5666559282,-0.2791227763,0.001467688624
3.123515194e-05,0.5626266195,-0.569172304,282.321244,282.321244,-0.001007934214,-0.5666424885,-0.2790484017,0.001687855382
3.17449617e-05,0.5626413742,-0.5693596243,282.3127327,282.3127327,-0.0009920456269,-0.5666254662,-0.2789536077,0.001766412821
3.234493995e-05,0.5626591524,-0.5695809213,282.3027162,282.3027162,-0.0009731399604,-0.5666054333,-0.2788418318,0.001783695733
3.312270057e-05,0.5626822781,-0.5698679802,282.2897316,282.2897316,-0.0009485925088,-0.5665794644,-0.2786968805,0.001782873787
3.416709386e-05,0.5627132576,-0.5702533529,282.2722956,282.2722956,-0.0009156667504,-0.5665445928,-0.2785022479,0.001776416647
3.572835482e-05,0.5627593463,-0.5708291121,282.2462305,282.2462305,-0.0008665573709,-0.5664924634,-0.2782113476,0.001765986988
3.844787279e-05,0.5628389773,-0.5718310306,282.2008286,282.2008286,-0.0007813399665,-0.5664016606,-0.277704802,0.001747766476
4.507514002e-05,0.5630295736,-0.5742674077,282.0901877,282.0901877,-0.0005754008644,-0.5661803815,-0.2764712707,0.001703364417
6.535985979e-05,0.5635824725,-0.5816785343,281.7515406,281.7515406,3.969566869e-05,-0.5655030953,-0.2727035097,0.001567467765
0.0001010820534,0.5644444643,-0.5945601486,281.1551779,281.1551779,0.001067054211,-0.5643103841,-0.2660973357,0.001328195244
0.000135905345,0.565147664,-0.606908199,280.573832,280.573832,0.002,-0.5631477057,-0.2596935645,0.001095022968
0.000135905345,0.565147664,-0.606908199,280.573832,280.573832,0.002,-0.5631477057,-0.2596935645,0.001095022968
0.000135905345,0.565147664,-0.606908199,280.573832,280.573832,0.002,-0.5631477057,-0.2596935645,0.001095022974
0.000135905345,0.565147664,-0.606908199,280.573832,280.573832,0.002,-0.5631477057,-0.2596935645,0.001095022974
0.000184911435,0.8156532614,-0.8724840213,279.7558705,279.7558705,0.2541412682,-0.56151205,-0.2513404906,0.6002618084
0.000233917525,1.527075828,-1.598958314,278.9387213,278.9387213,0.9671974198,-0.5598784796,-0.2429974783,1.130392265
0.0003176443042,3.648730217,-3.746287509,277.5464796,277.5464796,3.091634169,-0.5570961464,-0.228767834,1.876768776
0.0004832352856,10.22281453,-10.37093451,274.8164941,274.8164941,9.671171877,-0.5516428055,-0.2007565038,2.75424437
0.0006664043173,18.94043566,-19.14401329,271.8448131,271.8448131,18.39472764,-0.5457082225,-0.1700559977,2.794426006
0.000912957654,28.00095762,-28.27808642,267.9224749,267.9224749,27.46308521,-0.537872688,-0.1293580768,1.329662772
0.001194566542,26.38141415,-26.74049361,263.4867951,263.4867951,25.85241471,-0.5289997997,-0.08394706731,-2.363564733
0.001492871418,0.521325088,-0.9641370452,258.662544,258.662544,0.002,-0.5193255308,-0.03725656535,-8.36936013
0.001492871418,0.521325088,-0.9641370452,258.662544,258.662544,0.002,-0.5193255308,-0.03725656535,-8.36936013
0.001492871418,0.521325088,-0.9641370452,258.662544,258.662544,0.002,-0.5193255308,-0.03725656535,-8.36936013
0.001492871418,0.521325088,-0.9641370452,258.662544,258.662544,0.002,-0.5193255308,-0.03725656535,-8.36936013
0.001493034287,0.5059669975,-0.9459021374,258.6598265,258.6598265,-0.005676327692,-0.5193200775,-0.03869225655,-3.74254913
0.001493197155,0.4985428138,-0.9343090318,258.6571089,258.6571089,-0.00938570199,-0.5193146308,-0.04077399995,-1.975727109
0.001493361276,0.4943942431,-0.9268960345,258.6543704,258.6543704,-0.01145724892,-0.5193091465,-0.04240347474,-1.150129288
0.001493533839,0.4918154551,-0.9220149431,258.6514911,258.6514911,-0.01274376356,-0.5193033829,-0.04355174707,-0.6881184142
