time,currentToVoltageAdaptor2a.f,inductor1.i,capacitor2.v,capacitor1.v,inductor2.i
0,0,0,0,0,0
0.0001,4.983291833e-05,1.662491694e-07,1.662491694e-07,4.983291833e-05,4.983291833e-05
0.0006172087683,0.001864956307,3.857529141e-05,3.857529141e-05,0.001864956307,0.001864956307
0.001481813002,0.01041766309,0.0005216315382,0.0005216315382,0.01041766309,0.01041766309
0.002557881202,0.02976437193,0.002602552628,0.002602552628,0.02976437193,0.02976437193
0.003982255896,0.06788490307,0.009405067528,0.009405067528,0.06788490307,0.06788490307
0.005822495287,0.1329266175,0.02765966529,0.02765966529,0.1329266175,0.1329266175
0.008693079283,0.252698444,0.08274033427,0.08274033427,0.252698444,0.252698444
0.01156366328,0.3698288858,0.1724735499,0.1724735499,0.3698288858,0.3698288858
0.01483806816,0.4686449847,0.3111533509,0.3111533509,0.4686449847,0.4686449847
0.01830027026,0.5041628337,0.4819208433,0.4819208433,0.5041628337,0.5041628337
0.02199722844,0.4455114038,0.6606434787,0.6606434787,0.4455114038,0.4455114038
0.02585382477,0.2791478193,0.8035793604,0.8035793604,0.2791478193,0.2791478193
0.02986548448,0.01770545577,0.8654654079,0.8654654079,0.01770545577,0.01770545577
0.03391798006,-0.2905563124,0.810715782,0.810715782,-0.2905563124,-0.2905563124
0.03859536283,-0.624389911,0.5941740568,0.5941740568,-0.624389911,-0.624389911
0.04417514545,-0.8766884458,0.1654226919,0.1654226919,-0.8766884458,-0.8766884458
0.04975492808,-0.8773438795,-0.33682522,-0.33682522,-0.8773438795,-0.8773438795
0.05533471071,-0.6090730076,-0.7630538535,-0.7630538535,-0.6090730076,-0.6090730076
0.06091449334,-0.1441243305,-0.9795120578,-0.9795120578,-0.1441243305,-0.1441243305
0.06649427596,0.3789167451,-0.9129421722,-0.9129421722,0.3789167451,0.3789167451
0.07246253964,0.8211859735,-0.5444285546,-0.5444285546,0.8211859735,0.8211859735
0.07843193447,0.9887948992,0.01207732142,0.01207732142,0.9887948992,0.9887948992
0.0844013293,0.8185674706,0.5680250315,0.5680250315,0.8185674706,0.8185674706
0.09037072413,0.3654872521,0.932369657,0.932369657,0.3654872521,0.3654872521
0.09634011895,-0.2159495352,0.978510241,0.978510241,-0.2159495352,-0.2159495352
0.1023095138,-0.7253490476,0.6890515969,0.6890515969,-0.7253490476,-0.7253490476
0.1091284901,-0.9964580073,0.07830988544,0.07830988544,-0.9964580073,-0.9964580073
0.114649703,-0.8900439884,-0.4560785921,-0.4560785921,-0.8900439884,-0.8900439884
