time,SaturatingInductance1.i,Inductance1.i,SaturatingInductance1.Psi
0,0,0,0
0.01,0.006250859348,0.01249979167,0.01249979167
0.02,0.01250688429,0.02499833336,0.02499833336
0.03,0.01877320262,0.03749437524,0.03749437524
0.04,0.02505500518,0.04998666773,0.04998666773
0.05,0.03135752924,0.06247396159,0.06247396159
0.06,0.03768587145,0.0749550081,0.0749550081
0.07,0.04404532134,0.08742855913,0.08742855913
0.08,0.05044117265,0.09989336739,0.09989336739
0.09,0.0568786785,0.1123481865,0.1123481865
0.1,0.06336310035,0.1247917708,0.1247917708
0.11,0.06989965874,0.1372228761,0.1372228761
0.12,0.07649349837,0.1496402591,0.1496402591
0.13,0.08315143402,0.1620426782,0.1620426782
0.14,0.08987875642,0.1744288932,0.1744288932
0.15,0.09667923224,0.1867976656,0.1867976656
0.16,0.1035587022,0.1991477583,0.1991477583
0.17,0.1105212965,0.2114779363,0.2114779363
0.18,0.1175762955,0.2237869667,0.2237869667
0.19,0.1247315844,0.2360736186,0.2360736186
0.2,0.131989923,0.2483366634,0.2483366634
0.21,0.139348945,0.2605748748,0.2605748748
0.22,0.1468228955,0.2727870289,0.2727870289
0.23,0.1544099234,0.2849719044,0.2849719044
0.24,0.1621274402,0.297128283,0.297128283
0.25,0.1699841739,0.3092549489,0.3092549489
0.26,0.1779778571,0.3213506898,0.3213506898
0.27,0.1860952275,0.3334142959,0.3334142959
0.28,0.194362755,0.3454445607,0.3454445607
0.29,0.2027652645,0.3574402814,0.3574402814
0.3,0.2113294433,0.3694002583,0.3694002583
0.31,0.2200744507,0.3813232953,0.3813232953
0.32,0.2290015557,0.3932082005,0.3932082005
0.33,0.2380941364,0.4050537853,0.4050537853
0.34,0.2473176808,0.4168588652,0.4168588652
0.35,0.256722354,0.4286222593,0.4286222593
0.36,0.2662959726,0.4403427916,0.4403427916
0.37,0.2760561077,0.4520192899,0.4520192899
0.38,0.2860265695,0.4636505866,0.4636505866
0.39,0.2962073319,0.4752355186,0.4752355186
0.4,0.3065745327,0.4867729277,0.4867729277
0.41,0.3170804731,0.49826166,0.49826166
0.42,0.3277676852,0.5097005663,0.5097005663
0.43,0.3386438643,0.5210885031,0.5210885031
0.44,0.3497081937,0.5324243313,0.5324243313
0.45,0.3609832954,0.5437069175,0.5437069175
0.46,0.3724680426,0.5549351335,0.5549351335
0.47,0.3841375595,0.5661078565,0.5661078565
0.48,0.3959432218,0.5772239694,0.5772239694
0.49,0.4078995114,0.5882823602,0.5882823602
0.5,0.4200390233,0.5992819233,0.5992819233
0.51,0.4323365867,0.6102215586,0.6102215586
0.52,0.4448114765,0.6211001721,0.6211001721
0.53,0.4574658049,0.6319166762,0.6319166762
0.54,0.4702845209,0.6426699892,0.6426699892
0.55,0.4832354112,0.653359036,0.653359036
0.56,0.4962690992,0.6639827474,0.6639827474
0.57,0.5094383,0.6745400609,0.6745400609
0.58,0.5227318823,0.6850299211,0.6850299211
0.59,0.5361337158,0.6954512786,0.6954512786
0.6,0.5496509733,0.7058030915,0.7058030915
0.61,0.5632819559,0.7160843246,0.7160843246
0.62,0.5770160939,0.72629395,0.72629395
0.63,0.5908339457,0.7364309469,0.7364309469
0.64,0.6047071987,0.7464943015,0.7464943015
0.65,0.6185986689,0.7564830072,0.7564830072
0.66,0.6325775978,0.7663960649,0.7663960649
0.67,0.6465964698,0.776232484,0.776232484
0.68,0.6606478684,0.7859912803,0.7859912803
0.69,0.6747320229,0.7956714776,0.7956714776
0.7,0.6888464002,0.8052721081,0.8052721081
0.71,0.7029857047,0.814792212,0.814792212
0.72,0.7171418783,0.8242308374,0.8242308374
0.73,0.7313041005,0.8335870409,0.8335870409
0.74,0.7454587881,0.842859887,0.842859887
0.75,0.7595895957,0.8520484484,0.8520484484
0.76,0.7736774154,0.8611518059,0.8611518059
0.77,0.7877003767,0.8701690484,0.8701690484
0.78,0.8017234243,0.8790992738,0.8790992738
0.79,0.8157006423,0.8879415909,0.8879415909
0.8,0.8296243393,0.8966951145,0.8966951145
0.81,0.8434904445,0.9053589686,0.9053589686
0.82,0.8572945318,0.9139322868,0.9139322868
0.83,0.8710318198,0.9224142117,0.9224142117
0.84,0.8846971721,0.9308038956,0.9308038956
0.85,0.8982850967,0.9391004999,0.9391004999
0.86,0.9117897465,0.9473031953,0.9473031953
0.87,0.9252049192,0.9554111621,0.9554111621
0.88,0.938524057,0.9634235898,0.9634235898
0.89,0.951740247,0.9713396771,0.9713396771
0.9,0.9648462211,0.9791586322,0.9791586322
0.91,0.9778343559,0.9868796726,0.9868796726
0.92,0.9906966725,0.9945020251,0.9945020251
0.93,1.003437251,1.002024925,1.002024925
0.94,1.016065091,1.009447625,1.009447625
0.95,1.028563699,1.016769382,1.016769382
0.96,1.040929371,1.023989464,1.023989464
0.97,1.053158475,1.031107146,1.031107146
0.98,1.065247448,1.038121717,1.038121717
0.99,1.077192793,1.045032474,1.045032474
1,1.088991084,1.051838727,1.051838727
1.01,1.100638964,1.058539795,1.058539795
1.02,1.112133145,1.06513501,1.06513501
1.03,1.123470407,1.071623711,1.071623711
1.04,1.134647598,1.07800525,1.07800525
1.05,1.145661638,1.084278992,1.084278992
1.06,1.156509513,1.090444308,1.090444308
1.07,1.16718828,1.096500583,1.096500583
1.08,1.177695062,1.102447211,1.102447211
