time,energy.y,superCap.capacitor.v
0,0,48
0.01,-142.1909985,47.993999
0.02,-284.363994,47.987998
0.03,-426.5189865,47.981997
0.04,-568.655976,47.975996
0.05,-710.7749625,47.969995
0.06,-852.875946,47.963994
0.07,-994.9589265,47.957993
0.08,-1137.023904,47.951992
0.09,-1279.070879,47.94599101
0.1,-1421.09985,47.93999001
0.11,-1563.110819,47.93398901
0.12,-1705.103784,47.92798801
0.13,-1847.078747,47.92198701
0.14,-1989.035706,47.91598601
0.15,-2130.974663,47.90998501
0.16,-2272.895616,47.90398402
0.17,-2414.798567,47.89798302
0.18,-2556.683514,47.89198202
0.19,-2698.550459,47.88598102
0.2,-2840.399401,47.87998003
0.21,-2982.230339,47.87397903
0.22,-3124.043275,47.86797803
0.23,-3265.838207,47.86197703
0.24,-3407.615137,47.85597604
0.25,-3549.374063,47.84997504
0.26,-3691.114987,47.84397404
0.27,-3832.837908,47.83797305
0.28,-3974.542825,47.83197205
0.29,-4116.22974,47.82597105
0.3,-4257.898652,47.81997006
0.31,-4399.54956,47.81396906
0.32,-4541.182466,47.80796806
0.33,-4682.797369,47.80196707
0.34,-4824.394268,47.79596607
0.35,-4965.973165,47.78996508
0.36,-5107.534059,47.78396408
0.37,-5249.07695,47.77796309
0.38,-5390.601837,47.77196209
0.39,-5532.108722,47.7659611
0.4,-5673.597604,47.7599601
0.41,-5815.068483,47.75395911
0.42,-5956.521359,47.74795811
0.43,-6097.956231,47.74195712
0.44,-6239.373101,47.73595612
0.45,-6380.771968,47.72995513
0.46,-6522.152832,47.72395413
0.47,-6663.515693,47.71795314
0.48,-6804.860551,47.71195214
0.49,-6946.187406,47.70595115
0.5,-7087.496258,47.69995016
0.51,-7228.787107,47.69394916
0.52,-7370.059953,47.68794817
0.53,-7511.314796,47.68194718
0.54,-7652.551636,47.67594618
0.55,-7793.770473,47.66994519
0.56,-7934.971307,47.6639442
0.57,-8076.154138,47.6579432
0.58,-8217.318966,47.65194221
0.59,-8358.465791,47.64594122
0.6,-8499.594614,47.63994023
0.61,-8640.705433,47.63393923
0.62,-8781.798249,47.62793824
0.63,-8922.873062,47.62193725
0.64,-9063.929872,47.61593626
0.65,-9204.96868,47.60993526
0.66,-9345.989484,47.60393427
0.67,-9486.992285,47.59793328
0.68,-9627.977084,47.59193229
0.69,-9768.943879,47.5859313
0.7,-9909.892671,47.57993031
0.71,-10050.82346,47.57392932
0.72,-10191.73625,47.56792832
0.73,-10332.63103,47.56192733
0.74,-10473.50781,47.55592634
0.75,-10614.36659,47.54992535
0.76,-10755.20736,47.54392436
0.77,-10896.03014,47.53792337
0.78,-11036.8349,47.53192238
0.79,-11177.62167,47.52592139
0.8,-11318.39043,47.5199204
0.81,-11459.14119,47.51391941
0.82,-11599.87395,47.50791842
0.83,-11740.5887,47.50191743
0.84,-11881.28545,47.49591644
0.85,-12021.9642,47.48991545
0.86,-12162.62495,47.48391446
0.87,-12303.26769,47.47791347
0.88,-12443.89243,47.47191248
0.89,-12584.49916,47.4659115
0.9,-12725.0879,47.45991051
0.91,-12865.65863,47.45390952
0.92,-13006.21135,47.44790853
0.93,-13146.74608,47.44190754
0.94,-13287.2628,47.43590655
0.95,-13427.76152,47.42990556
0.96,-13568.24223,47.42390458
0.97,-13708.70494,47.41790359
0.98,-13849.14965,47.4119026
0.99,-13989.57636,47.40590161
1,-14129.98506,47.39990063
1.01,-14270.37576,47.39389964
1.02,-14410.74846,47.38789865
1.03,-14551.10315,47.38189766
1.04,-14691.43985,47.37589668
1.05,-14831.75853,47.36989569
1.06,-14972.05922,47.3638947
1.07,-15112.3419,47.35789372
1.08,-15252.60658,47.35189273
1.09,-15392.85326,47.34589174
1.1,-15533.08193,47.33989076
1.11,-15673.2926,47.33388977
1.12,-15813.48527,47.32788878
1.13,-15953.65994,47.3218878
1.14,-16093.8166,47.31588681
1.15,-16233.95526,47.30988583
1.16,-16374.07591,47.30388484
1.17,-16514.17857,47.29788386
1.18,-16654.26322,47.29188287
1.19,-16794.32986,47.28588189
1.2,-16934.37851,47.2798809
1.21,-17074.40915,47.27387992
1.22,-17214.42179,47.26787893
1.23,-17354.41642,47.26187795
1.24,-17494.39306,47.25587696
1.25,-17634.35168,47.24987598
1.26,-17774.29231,47.24387499
1.27,-17914.21493,47.23787401
1.28,-18054.11956,47.23187302
1.29,-18194.00617,47.22587204
1.3,-18333.87479,47.21987106
1.31,-18473.7254,47.21387007
1.32,-18613.55801,47.20786909
1.33,-18753.37261,47.20186811
1.34,-18893.16922,47.19586712
1.35,-19032.94782,47.18986614
1.36,-19172.70841,47.18386516
1.37,-19312.45101,47.17786417
1.38,-19452.1756,47.17186319
1.39,-19591.88219,47.16586221
1.4,-19731.57077,47.15986123
1.41,-19871.24135,47.15386024
1.42,-20010.89393,47.14785926
1.43,-20150.52851,47.14185828
1.44,-20290.14508,47.1358573
1.45,-20429.74365,47.12985631
1.46,-20569.32422,47.12385533
1.47,-20708.88679,47.11785435
1.48,-20848.43135,47.11185337
1.49,-20987.95791,47.10585239
1.5,-21127.46646,47.09985141
1.51,-21266.95701,47.09385043
1.52,-21406.42956,47.08784944
1.53,-21545.88411,47.08184846
1.54,-21685.32065,47.07584748
1.55,-21824.7392,47.0698465
1.56,-21964.13973,47.06384552
1.57,-22103.52227,47.05784454
1.58,-22242.8868,47.05184356
1.59,-22382.23333,47.04584258
1.6,-22521.56186,47.0398416
1.61,-22660.87238,47.03384062
1.62,-22800.1649,47.02783964
1.63,-22939.43942,47.02183866
1.64,-23078.69593,47.01583768
1.65,-23217.93444,47.0098367
1.66,-23357.15495,47.00383572
1.67,-23496.35746,46.99783474
1.68,-23635.54196,46.99183376
1.69,-23774.70846,46.98583279
1.7,-23913.85696,46.97983181
1.71,-24052.98745,46.97383083
1.72,-24192.09994,46.96782985
1.73,-24331.19443,46.96182887
1.74,-24470.27092,46.95582789
1.75,-24609.3294,46.94982691
1.76,-24748.36988,46.94382594
1.77,-24887.39235,46.93782496
1.78,-25026.39683,46.93182398
1.79,-25165.3833,46.925823
1.8,-25304.35176,46.91982203
1.81,-25443.30223,46.91382105
1.82,-25582.23469,46.90782007
1.83,-25721.14915,46.90181909
1.84,-25860.04561,46.89581812
1.85,-25998.92406,46.88981714
1.86,-26137.78451,46.88381616
1.87,-26276.62696,46.87781519
1.88,-26415.4514,46.87181421
1.89,-26554.25784,46.86581323
1.9,-26693.04628,46.85981226
1.91,-26831.81671,46.85381128
1.92,-26970.56915,46.8478103
1.93,-27109.30358,46.84180933
1.94,-27248.02,46.83580835
1.95,-27386.71843,46.82980738
1.96,-27525.39885,46.8238064
1.97,-27664.06126,46.81780543
1.98,-27802.70568,46.81180445
1.99,-27941.33209,46.80580348
2,-28079.9405,46.7998025
2.01,-28218.53091,46.79380153
2.02,-28357.10331,46.78780055
2.03,-28495.65771,46.78179958
2.04,-28634.19411,46.7757986
2.05,-28772.7125,46.76979763
2.06,-28911.21289,46.76379665
2.07,-29049.69528,46.75779568
2.08,-29188.15967,46.7517947
2.09,-29326.60605,46.74579373
2.1,-29465.03443,46.73979276
2.11,-29603.44481,46.73379178
2.12,-29741.83718,46.72779081
2.13,-29880.21155,46.72178984
2.14,-30018.56792,46.71578886
2.15,-30156.90628,46.70978789
2.16,-30295.22665,46.70378692
2.17,-30433.52901,46.69778594
2.18,-30571.81336,46.69178497
2.19,-30710.07972,46.685784
2.2,-30848.32807,46.67978303
2.21,-30986.55841,46.67378205
