time,armatureInverter.iMot,armatureInverter.gain.u,armatureInverter.idealDcDc.pin_nBat.i,dcpm.friction.phi,dcpm.inertiaRotor.w,dcpm.flange.tau,armatureInverter.idealDcDc.powerMot.currentSensor.i,currentController.integrator.y,armatureInverter.vMotFilter.y,armatureInverter.idealDcDc.deadTime.y,armatureInverter.iDCFilter.y,armatureInverter.vDCFilter.y,armatureInverter.iMotFilter.y,loadInertia.w,dcpm.la.i,armatureInverter.idealDcDc.powerController.y,loadInertia.phi
0,0,120,-0,0,0,-0,0,0,0,0,0,120,0,0,0,-0,0
1e-06,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.010001,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.110001,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1590299667,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1891612197,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1934373641,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1957467159,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1973588539,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1985243901,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1992095278,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1994835829,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1996770527,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1997827933,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1998518607,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1998971666,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999283738,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999517168,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999702511,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999854306,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999957342,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999980321,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999991465,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999996232,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999998493,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999999625,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999999879,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999999982,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.1999999999,0,120,0,0,0,0,0,0,0,0,0,120,0,0,0,-0,0
0.2,1.365979438e-21,120,1.379974403e-22,1.994257738e-34,2.898698595e-24,-3.676565982e-14,1.155027268e-13,1.253111004e-07,1.732540882e-13,9.022398538e-06,-7.869555204e-30,120,1.365979438e-21,2.898698595e-24,1.155027268e-13,-1.379974403e-22,1.994257738e-34
0.2000000001,3.415177784e-20,120,-5.193617793e-22,2.134713771e-33,7.247232557e-23,-3.003700786e-13,9.436404322e-13,3.61554997e-07,1.415460599e-12,2.603195417e-05,-3.885635159e-30,120,3.415177784e-20,7.247232557e-23,9.436404322e-13,5.193617793e-22,2.134713771e-33
0.2000000008,1.45547842e-17,120,-2.09949841e-18,6.310899915e-30,3.088621766e-20,-1.700647414e-11,5.342741423e-11,2.723993963e-06,8.014110025e-11,0.0001961272474,3.434925248e-25,120,1.45547842e-17,3.088621766e-20,5.342741423e-11,2.09949841e-18,6.310899915e-30
0.2000000079,1.317015151e-14,120,-1.571127735e-14,5.522898343e-26,2.794798475e-17,-1.591058744e-09,4.998458462e-09,2.634838362e-05,7.497668597e-09,0.00189705388,2.522633605e-20,120,1.317015151e-14,2.794798475e-17,4.998458462e-09,1.571127735e-14,5.522898343e-26
0.2000000785,1.290902156e-11,120,-5.746621772e-11,5.377700682e-22,2.739433232e-14,-1.569902899e-07,4.931995413e-07,0.0002617386249,7.397805939e-07,0.01884224646,1.041387418e-15,120,1.290902156e-11,2.739433232e-14,4.931995413e-07,5.746621772e-11,5.377700682e-22
0.2000002978,7.037483613e-10,120,-3.874733828e-09,1.111845811e-19,1.493511583e-12,-2.256877095e-06,7.090188502e-06,0.0009925418899,1.063426232e-05,0.07142082945,2.818877663e-13,120,7.037483613e-10,1.493511583e-12,7.090188502e-06,3.874733828e-09,1.111845811e-19
0.200000745,1.101813393e-08,120,-6.376596446e-08,4.356460223e-18,2.33855622e-11,-1.412118916e-05,4.436302414e-05,0.002483476083,6.652855992e-05,0.178546318,1.176749089e-11,120,1.101813393e-08,2.33855622e-11,4.436302414e-05,6.376596446e-08,4.356460223e-18
0.2000014691,8.438967095e-08,120,-4.960771074e-07,6.581342492e-17,1.791462378e-10,-5.484896053e-05,0.0001723130915,0.004896863709,0.0002583472722,0.3515489242,1.813903848e-10,120,8.438967095e-08,1.791462378e-10,0.0001723130915,4.960771074e-07,6.581342492e-17
0.2000024813,4.061294555e-07,120,-2.399603559e-06,5.352156859e-16,8.623684218e-10,-0.0001562664879,0.0004909256505,0.008271026875,0.0007357995884,0.5925929274,1.485617481e-09,120,4.061294555e-07,8.623684218e-10,0.0004909256505,2.399603559e-06,5.352156859e-16
0.2000038488,1.513065744e-06,120,-8.947564937e-06,3.094810615e-15,3.213917661e-09,-0.0003752886587,0.001179004093,0.01282934018,0.001766312196,0.9166974183,8.6070769e-09,120,1.513065744e-06,3.213917661e-09,0.001179004093,8.947564937e-06,3.094810615e-15
0.200005641,4.753089395e-06,120,-2.806317795e-05,1.426040342e-14,1.010061328e-08,-0.0008042486664,0.002526621702,0.01880329783,0.003783040583,1.338804045,3.962324985e-08,120,4.753089395e-06,1.010061328e-08,0.002526621702,2.806317795e-05,1.426040342e-14
0.2000079285,1.315953709e-05,120,-7.743292713e-05,5.554909871e-14,2.798086606e-08,-0.001583945672,0.004976112088,0.02642824283,0.007445086839,1.873225617,1.538870391e-07,120,1.315953709e-05,2.798086606e-08,0.004976112088,7.743292713e-05,5.554909871e-14
