time,idealTransformer.plug_p2.pin[3].i,idealTransformer.idealTransformer[1].p2.i,idealTransformer.plug_p2.pin[2].i,transformerL.inductor[1].i,transformerL.inductor[3].i,transformerL.inductor[2].i
0,-0,-0,-0,0,0,-0
0.0001,-0.01636340586,-2.988034601e-05,0.01639328621,2.988034601e-05,0.01636340586,-0.01639328621
0.0003987575302,-0.06179908519,-0.0004590705099,0.0622581557,0.0004590705099,0.06179908519,-0.0622581557
0.0008712341614,-0.1240996406,-0.002077985045,0.1261776256,0.002077985045,0.1240996406,-0.1261776256
0.001459674921,-0.1876831227,-0.005469982002,0.1931531047,0.005469982002,0.1876831227,-0.1931531047
0.002226981902,-0.2516553695,-0.01174640891,0.2634017784,0.01174640891,0.2516553695,-0.2634017784
0.003165220996,-0.3074420445,-0.02160231724,0.3290443617,0.02160231724,0.3074420445,-0.3290443617
0.004313192047,-0.3513909368,-0.03599402519,0.387384962,0.03599402519,0.3513909368,-0.387384962
0.005681404545,-0.380056825,-0.05536166123,0.4354184862,0.05536166123,0.380056825,-0.4354184862
0.00730129255,-0.3928956734,-0.0801461545,0.4730418279,0.0801461545,0.3928956734,-0.4730418279
0.009200603435,-0.3907523047,-0.1105035469,0.5012558516,0.1105035469,0.3907523047,-0.5012558516
0.01142667595,-0.3751667683,-0.1466891304,0.5218558987,0.1466891304,0.3751667683,-0.5218558987
0.01404785676,-0.3472366447,-0.1890775302,0.536314175,0.1890775302,0.3472366447,-0.536314175
0.01716001509,-0.3069286161,-0.238123785,0.5450524012,0.238123785,0.3069286161,-0.5450524012
0.02091498003,-0.2523989387,-0.2944314809,0.5468304196,0.2944314809,0.2523989387,-0.5468304196
0.02556723989,-0.1792111612,-0.3585205014,0.5377316626,0.3585205014,0.1792111612,-0.5377316626
0.03156554728,-0.07915484017,-0.4297221405,0.5088769807,0.4297221405,0.07915484017,-0.5088769807
0.03838348361,0.03783288439,-0.4920670107,0.4542341263,0.4920670107,-0.03783288439,-0.4542341263
0.04584056984,0.1636247643,-0.5344330566,0.3708082923,0.5344330566,-0.1636247643,-0.3708082923
0.05382440228,0.2882233225,-0.5473992277,0.2591759052,0.5473992277,-0.2882233225,-0.2591759052
0.06235171847,0.4012075261,-0.5234348111,0.122227285,0.5234348111,-0.4012075261,-0.122227285
0.07137130787,0.4894289153,-0.4575292407,-0.03189967461,0.4575292407,-0.4894289153,0.03189967461
0.08091629298,0.5401776395,-0.3482034067,-0.1919742328,0.3482034067,-0.5401776395,0.1919742328
0.090645236,0.5422838627,-0.2048695361,-0.3374143265,0.2048695361,-0.5422838627,0.3374143265
0.1006907045,0.4917514625,-0.03711421688,-0.4546372456,0.03711421688,-0.4917514625,0.4546372456
0.1110634783,0.388701539,0.1397592032,-0.5284607422,-0.1397592032,-0.388701539,0.5284607422
0.1216140871,0.2419977384,0.3044703363,-0.5464680747,-0.3044703363,-0.2419977384,0.5464680747
0.1322663294,0.06721453321,0.4370921378,-0.504306671,-0.4370921378,-0.06721453321,0.504306671
0.1431518524,-0.1189471052,0.5224369233,-0.403489818,-0.5224369233,0.1189471052,0.403489818
0.1541881782,-0.2935268006,0.5471731756,-0.253646375,-0.5471731756,0.2935268006,0.253646375
0.1652245039,-0.4331730424,0.5067887146,-0.07361567225,-0.5067887146,0.4331730424,0.07361567225
0.1764283158,-0.5221427722,0.4041509568,0.1179918154,-0.4041509568,0.5221427722,-0.1179918154
0.1877437623,-0.5469992707,0.2502513326,0.2967479381,-0.2502513326,0.5469992707,-0.2967479381
0.1990592087,-0.503456412,0.06505906792,0.438397344,-0.06505906792,0.503456412,-0.438397344
0.2104807522,-0.3956993465,-0.1300424117,0.5257417582,0.1300424117,0.3956993465,-0.5257417582
0.2219658263,-0.2365546159,-0.3094821731,0.5460367889,0.3094821731,0.2365546159,-0.5460367889
0.2334509004,-0.0469461867,-0.4490666198,0.4960128065,0.4490666198,0.0469461867,-0.4960128065
0.2450180678,0.1500668732,-0.5311658073,0.3810989341,0.5311658073,-0.1500668732,-0.3810989341
0.2565879845,0.3275179535,-0.543884988,0.2163670346,0.543884988,-0.3275179535,-0.2163670346
0.2681579012,0.4621725043,-0.4855351155,0.02336261129,0.4855351155,-0.4621725043,-0.02336261129
0.2798145136,0.5367338043,-0.3626243369,-0.1741094674,0.3626243369,-0.5367338043,0.1741094674
0.2914711261,0.5401172575,-0.1916248458,-0.3484924116,0.1916248458,-0.5401172575,0.3484924116
0.3031277386,0.4718742208,0.00478656321,-0.476660784,-0.00478656321,-0.4718742208,0.476660784
0.3148820526,0.339737829,0.2021264697,-0.5418642986,-0.2021264697,-0.339737829,0.5418642986
0.3266363667,0.1617979863,0.3722157491,-0.5340137354,-0.3722157491,-0.1617979863,0.5340137354
0.3383906807,-0.03795542506,0.4921229864,-0.4541675614,-0.4921229864,0.03795542506,0.4541675614
0.350250423,-0.2342326294,0.5458333392,-0.3116007098,-0.5458333392,0.2342326294,0.3116007098
0.3621101654,-0.3983682269,0.5246438625,-0.1262756356,-0.5246438625,0.3983682269,0.1262756356
0.3739699077,-0.5078393625,0.4314622615,0.07637710098,-0.4314622615,0.5078393625,-0.07637710098
0.3859259777,-0.5476402661,0.2776477757,0.2699924904,-0.2776477757,0.5476402661,-0.2699924904
0.3978820476,-0.5110821439,0.08512003759,0.4259621063,-0.08512003759,0.5110821439,-0.4259621063
0.4098381175,-0.4032624583,-0.119276218,0.5225386763,0.119276218,0.4032624583,-0.5225386763
0.4218014672,-0.2391021276,-0.3071451768,0.5462473044,0.3071451768,0.2391021276,-0.5462473044
0.4337648168,-0.04156300509,-0.4521365029,0.493699508,0.4521365029,0.04156300509,-0.493699508
0.4457281665,0.1617783355,-0.5340093284,0.3722309929,0.5340093284,-0.1617783355,-0.3722309929
