time,currentSource.pin_p.reference.gamma,inductor.i.im,inductor.i.re
0,0,-9.999999975e-08,1
0.001,6.289468492e-06,-0.0002001015943,1.000003964
0.002,2.51453076e-05,-0.000400112746,1.000015848
0.003,5.656751732e-05,-0.0006001430597,1.000035653
0.004,0.0001005560977,-0.0008002019541,1.00006338
0.005,0.0001571110486,-0.001000298974,1.00009903
0.006,0.0002262323702,-0.001200443803,1.000142605
0.007,0.0003079200623,-0.001400646086,1.000194106
0.008,0.0004021741251,-0.001600915424,1.000253536
0.009,0.0005089945585,-0.001801261375,1.000320898
0.01,0.0006283813626,-0.002001693459,1.000396194
0.011,0.0007603345372,-0.002202221151,1.00047943
0.012,0.0009048540825,-0.002402853886,1.000570609
0.013,0.001061939998,-0.002603602312,1.000669734
0.014,0.001231592285,-0.00280447477,1.000776811
0.015,0.001413810942,-0.003005480487,1.000891846
0.016,0.00160859597,-0.003206629755,1.001014843
0.017,0.001815947368,-0.003407932752,1.001145808
0.018,0.002035865137,-0.003609399543,1.001284747
0.019,0.002268349276,-0.00381104008,1.001431665
0.02,0.002513399787,-0.0040128642,1.001586571
0.021,0.002771016667,-0.004214881626,1.00174947
0.022,0.003041199919,-0.00441710197,1.001920371
0.023,0.003323949541,-0.004619534726,1.002099283
0.024,0.003619265533,-0.004822189277,1.002286213
0.025,0.003927147897,-0.005025074892,1.002481173
0.026,0.00424759663,-0.005228200726,1.002684171
0.027,0.004580611735,-0.005431575819,1.002895218
0.028,0.00492619321,-0.005635215128,1.00311432
0.029,0.005284341056,-0.005839126824,1.003341489
0.03,0.005655055272,-0.00604331763,1.003576735
0.031,0.006038335859,-0.006247798961,1.003820071
0.032,0.006434182816,-0.006452582015,1.004071508
0.033,0.006842596145,-0.006657677777,1.004331058
0.034,0.007263575843,-0.006863097017,1.004598733
0.035,0.007697121913,-0.007068850287,1.004874545
0.036,0.008143234353,-0.007274947926,1.005158508
0.037,0.008601913163,-0.007481400057,1.005450635
0.038,0.009073158345,-0.007688216587,1.00575094
0.039,0.009556969896,-0.007895407208,1.006059439
0.04,0.01005334782,-0.008102981397,1.006376144
0.041,0.01056229211,-0.008310948416,1.006701073
0.042,0.01108380278,-0.00851931731,1.007034239
0.043,0.01161787981,-0.008728096911,1.007375661
0.044,0.01216452321,-0.008937296019,1.007725353
0.045,0.01272373299,-0.00914695097,1.008083336
0.046,0.01329550914,-0.009357044607,1.008449619
0.047,0.01387985165,-0.009567590805,1.008824223
0.048,0.01447676054,-0.009778603082,1.009207166
0.049,0.0150862358,-0.009990094598,1.009598467
0.05,0.01570827743,-0.01020207816,1.009998148
0.051,0.01634288543,-0.01041456621,1.010406226
0.052,0.0169900598,-0.01062757084,1.010822724
0.053,0.01764980054,-0.01084110379,1.01124766
0.054,0.01832210765,-0.01105517642,1.011681057
0.055,0.01900698113,-0.01126979976,1.012122934
0.056,0.01970442098,-0.01148498448,1.012573312
0.057,0.0204144272,-0.01170074087,1.013032215
0.058,0.0211369998,-0.01191707889,1.013499662
0.059,0.02187213876,-0.01213400812,1.013975675
0.06,0.0226198441,-0.0123515378,1.014460278
0.061,0.0233801158,-0.0125696768,1.014953492
0.062,0.02415295388,-0.01278843366,1.015455341
0.063,0.02493835832,-0.01300781652,1.015965846
0.064,0.02573632914,-0.01322784233,1.016485036
0.065,0.02654686633,-0.0134485748,1.017012967
0.066,0.02736996989,-0.01366996511,1.017549623
0.067,0.02820563982,-0.01389203105,1.018095036
0.068,0.02905387612,-0.01411478983,1.018649236
0.069,0.02991467879,-0.01433825811,1.019212255
0.07,0.03078804783,-0.01456245194,1.019784125
0.071,0.03167398324,-0.01478738679,1.020364875
0.072,0.03257248502,-0.01501307758,1.020954538
0.073,0.03348355317,-0.01523953862,1.021553144
0.074,0.0344071877,-0.01546678367,1.022160723
0.075,0.03534338859,-0.01569482589,1.022777306
0.076,0.03629215586,-0.01592367786,1.023402924
0.077,0.03725348949,-0.01615335161,1.024037606
0.078,0.0382273895,-0.01638385855,1.024681384
0.079,0.03921385587,-0.01661520954,1.025334288
0.08,0.04021288862,-0.01684741486,1.025996347
0.081,0.04122448774,-0.01708048419,1.026667591
0.082,0.04224865323,-0.01731442667,1.027348051
0.083,0.04328538509,-0.01754925082,1.028037755
0.084,0.04433468332,-0.0177849646,1.028736734
0.085,0.04539654792,-0.0180215754,1.029445017
0.086,0.04647097889,-0.01825909002,1.030162633
0.087,0.04755797623,-0.01849766815,1.030889766
0.088,0.04865753994,-0.01873718482,1.031626302
0.089,0.04976967002,-0.01897765571,1.032372283
0.09,0.05089436647,-0.01921910481,1.033127757
0.091,0.0520316293,-0.01946155517,1.033892773
0.092,0.05318145849,-0.01970502887,1.034667381
0.093,0.05434385406,-0.01994954708,1.035451627
0.094,0.05551881599,-0.02019513001,1.036245558
0.095,0.0567063443,-0.02044179691,1.037049221
0.096,0.05790643898,-0.0206895661,1.03786266
0.097,0.05911910002,-0.02093845496,1.03868592
0.098,0.06034432744,-0.02118847989,1.039519045
0.099,0.06158212123,-0.02143965639,1.040362077
0.1,0.06283248139,-0.02169199899,1.04121506
0.101,0.06409540792,-0.02194552126,1.042078035
0.102,0.06537090082,-0.02220023586,1.042951043
0.103,0.06665896009,-0.02245615447,1.043834123
0.104,0.06795958573,-0.02271328785,1.044727316
0.105,0.06927277775,-0.02297164579,1.045630659
0.106,0.07059853613,-0.02323123715,1.046544191
0.107,0.07193686088,-0.02349206985,1.047467949
0.108,0.07328775201,-0.02375415085,1.048401969
0.109,0.0746512095,-0.02401748617,1.049346287
0.11,0.07602723337,-0.02428208088,1.050300938
0.111,0.0774158236,-0.02454810896,1.051266179
0.112,0.07881698021,-0.02481558789,1.052242051
0.113,0.08023070319,-0.02508438178,1.0532284
0.114,0.08165699254,-0.02535452697,1.054225306
0.115,0.08309584825,-0.02562605817,1.055232848
0.116,0.08454727034,-0.02589900856,1.056251099
0.117,0.0860112588,-0.02617340967,1.057280135
0.118,0.08748781363,-0.02644929146,1.058320026
0.119,0.08897693483,-0.02672668231,1.059370843
0.12,0.09047862241,-0.02700560898,1.060432653
0.121,0.09199287635,-0.02728609665,1.061505524
0.122,0.09351969666,-0.02756816891,1.062589518
0.123,0.09505908334,-0.02785184775,1.063684699
0.124,0.0966110364,-0.02813715356,1.064791128
0.125,0.09817555582,-0.02842410517,1.065908862
0.126,0.09975264162,-0.02871271976,1.067037959
0.127,0.1013422938,-0.02900301298,1.068178473
0.128,0.1029445123,-0.02929499883,1.069330458
0.129,0.1045592972,-0.02958868976,1.070493966
0.13,0.1061866485,-0.0298840966,1.071669044
0.131,0.1078265662,-0.0301812286,1.072855742
0.132,0.1094790502,-0.03048009341,1.074054103
0.133,0.1111441006,-0.03078069708,1.075264173
0.134,0.1128217173,-0.03108304409,1.076485993
0.135,0.1145119005,-0.03138713731,1.077719603
0.136,0.11621465,-0.03169297802,1.078965041
0.137,0.1179299658,-0.03200080036,1.080222698
0.138,0.1196578481,-0.0323108382,1.08149295
0.139,0.1213982967,-0.03262269057,1.082775226
0.14,0.1231513117,-0.03293641557,1.084069653
0.141,0.124916893,-0.03325206849,1.085376354
0.142,0.1266950407,-0.03356970188,1.086695448
0.143,0.1284857548,-0.03388936545,1.088027051
0.144,0.1302890353,-0.03421110617,1.089371274
0.145,0.1321048821,-0.03453496819,1.090728224
0.146,0.1339332954,-0.0348609929,1.092098005
0.147,0.1357742749,-0.03518921889,1.093480718
0.148,0.1376278209,-0.03551968197,1.094876458
0.149,0.1394939332,-0.03585241515,1.096285316
0.15,0.1413726119,-0.03618744869,1.097707381
0.151,0.1432638569,-0.03652481001,1.099142737
0.152,0.1451676684,-0.0368645238,1.100591464
0.153,0.1470840462,-0.03720661192,1.102053638
0.154,0.1490129904,-0.03755109348,1.103529331
0.155,0.1509545009,-0.03789798477,1.105018613
0.156,0.1529085778,-0.03824729932,1.106521547
0.157,0.1548752211,-0.03859904787,1.108038195
0.158,0.1568544308,-0.03895323837,1.109568612
0.159,0.1588462068,-0.03930987597,1.111112852
0.16,0.1608505492,-0.03966896306,1.112670963
0.161,0.1628674579,-0.04003049924,1.114242991
0.162,0.1648969331,-0.0403944813,1.115828977
0.163,0.1669389746,-0.04076090326,1.117428957
0.164,0.1689935825,-0.04112975638,1.119042965
