time,qd,q
0,0,1
0.003300330033,-0.009900936177,0.9999836618
0.03214787818,-0.09639380569,0.9984501714
0.1018857279,-0.3040731843,0.9844693154
0.2073496874,-0.6087628807,0.9361993653
0.3407542332,-0.9639386314,0.8308273616
0.5113722182,-1.341252412,0.6327300538
0.713706933,-1.635983104,0.3284099373
0.9402346032,-1.729164563,-0.05770572347
1.167986512,-1.557947016,-0.4369595679
1.428821616,-1.071230654,-0.7858041864
1.718046474,-0.2859433451,-0.98627851
2.012803084,0.5852598855,-0.9411818879
2.307559694,1.307202962,-0.656053673
2.645021077,1.717192025,-0.130702548
2.98248246,1.557031522,0.4380448329
3.319943843,0.8798988059,0.861350519
3.688562064,-0.1825521544,0.9944293034
4.057180286,-1.173080958,0.7357249085
4.428738312,-1.703069823,0.1821570427
4.805053688,-1.545321394,-0.4516525228
5,-1.198909197,-0.7217120711
