time,mass.flange_a.s,mass.v,mass.vˍt,inertia.phi,inertia.w
0,0,0,0,0,0
1e-06,0,0,0,0,0
0.010001,0,0,0,0,0
0.0480018144,0,0,0,0,0
0.0772467251,0,0,0,0,0
0.08852122936,0,0,0,0,0
0.09379285512,0,0,0,0,0
0.0966063651,0,0,0,0,0
0.09825860908,0,0,0,0,0
0.09930840001,0,0,0,0,0
0.09983969748,0,0,0,0,0
0.09998640847,0,0,0,0,0
0.1000017791,5.2142823e-11,2.259211723e-05,5,5.2142823e-11,2.259211723e-05
0.1000086203,3.237064925e-10,5.679824342e-05,4.999999999,3.237064925e-10,5.679824342e-05
0.1000770326,1.590999293e-08,0.0003988595045,4.999999968,1.590999293e-08,0.0003988595045
0.1007611551,1.458837692e-06,0.003819471382,4.999997082,1.458837692e-06,0.003819471382
0.1076023803,0.00014459322,0.03802486523,4.999710822,0.00014459322,0.03802486523
0.1423191182,0.004476512971,0.2114830375,4.991054985,0.004476512971,0.2114830375
0.1905297006,0.02046237768,0.4514295495,4.959242273,0.02046237768,0.4514295495
0.2471907976,0.05397037771,0.7306982064,4.893216027,0.05397037771,0.7306982064
0.3177216477,0.1175851374,1.071740333,4.770274535,0.1175851374,1.071740333
0.3999090334,0.2215753646,1.456159396,4.575919968,0.2215753646,1.456159396
0.495068691,0.3804564434,1.878620174,4.294157247,0.3804564434,1.878620174
0.6014894243,0.6040247193,2.316449559,3.926812249,0.6040247193,2.316449559
0.7186577956,0.9013999818,2.75097413,3.486428145,0.9013999818,2.75097413
0.8456763788,1.277636497,3.162821226,2.999312144,1.277636497,3.162821226
0.9825707846,1.737112377,3.538532152,2.495757707,1.737112377,3.538532152
1.129628053,2.282645711,3.868802188,2.00647355,2.282645711,3.868802188
1.287683308,2.917233783,4.149300325,1.55666101,2.917233783,4.149300325
1.457939886,3.644230881,4.3795762,1.163862182,3.644230881,4.3795762
1.642082895,4.468450388,4.562351757,0.8369890981,4.468450388,4.562351757
1.842376971,5.397165778,4.702510799,0.5772783249,5.397165778,4.702510799
2.062017382,6.442207451,4.806218982,0.380051764,6.442207451,4.806218982
2.305986155,7.624500355,4.880142812,0.2368412056,7.624500355,4.880142812
2.583857822,8.988242344,4.930891319,0.137262156,8.988242344,4.930891319
2.927343118,10.68846913,4.96511179,0.06953298741,10.68846913,4.96511179
3.286691489,12.4762609,4.982965479,0.03401101061,12.4762609,4.982965479
3.646039861,14.26863479,4.991690339,0.01660551351,14.26863479,4.991690339
4.019832981,16.13541243,4.996063585,0.007869731891,16.13541243,4.996063585
4.408267218,18.07652036,4.998189478,0.003620388341,18.07652036,4.998189478
4.821356259,20.14145653,4.999207419,0.001585036766,20.14145653,4.999207419
5,21.03455618,4.99944552,0.00110889911,21.03455618,4.99944552
