time,mass1.v,mass1.s,inertia2.v,inertia2.s
0,0,0,0,0
0.0001,-0.0009899999819,-4.949999955e-08,-0.0009899999819,-4.949999955e-08
0.002544560791,-0.0251908528,-3.205001838e-05,-0.0251908528,-3.205001838e-05
0.01929006521,-0.1908413922,-0.001841299556,-0.1908413922,-0.001841299556
0.05734558792,-0.5643047441,-0.01622914551,-0.5643047441,-0.01622914551
0.113564605,-1.097894417,-0.06308858683,-1.097894417,-0.06308858683
0.1835820192,-1.707228561,-0.1617360266,-1.707228561,-0.1617360266
0.2708538602,-2.335081963,-0.3393678718,-2.335081963,-0.3393678718
0.3740114214,-2.823570958,-0.6080711497,-2.823570958,-0.6080711497
0.4941347194,-2.978050891,-0.9612095533,-2.978050891,-0.9612095533
0.6311143904,-2.586880073,-1.349044533,-2.586880073,-1.349044533
0.7856805482,-1.523871298,-1.673881287,-1.523871298,-1.673881287
0.9473627484,0.00135625252,-1.799999757,0.00135625252,-1.799999757
1,0.5198013048,-1.786248664,0.5198013048,-1.786248664
