time,pump.flowPort_a.h,pipe.flowPort_a.h,ambient2.flowPort.h,pump.h,heatCapacitor.port.T,pipe.T_q,pipe.T,heatCapacitor.T
0,0,0,0,293.15,313.15,293.15,293.15,313.15
1e-06,0,0,0,293.15,313.1498,293.1502,293.1502,313.1498
0.0001062106036,0,0,0,293.15,313.1287804,293.1712196,293.1712196,313.1287804
0.00115831664,0,0,0,293.15,312.9209995,293.3790005,293.3790005,312.9209995
0.011679377,0,0,0,293.15,311.0668829,295.2331171,295.2331171,311.0668829
0.03445826858,0,0,0,293.15,308.1699489,298.1300511,298.1300511,308.1699489
0.06426092298,0,0,0,293.15,305.9159019,300.3840981,300.3840981,305.9159019
0.1026750127,0,0,0,293.15,304.4328518,301.8671482,301.8671482,304.4328518
0.1513863258,0,0,0,293.15,303.6342574,302.6657426,302.6657426,303.6342574
0.2134093616,0,0,0,293.15,303.2900727,303.0099273,303.0099273,303.2900727
0.2134885797,293.1502085,293.1502085,303.0098395,293.15,303.2898508,303.009624,303.009624,303.2898508
0.2135332431,293.15,293.15,303.0094517,293.15,303.2897256,303.0094517,303.0094517,303.2897256
0.2138798351,293.15,293.15,303.008082,293.15,303.2887535,303.008082,303.008082,303.2887535
0.2173457548,293.15,293.15,302.9912653,293.15,303.2789202,302.9912653,302.9912653,303.2789202
0.2338551592,293.15,293.15,302.8391101,293.15,303.2246867,302.8391101,302.8391101,303.2246867
0.2624919258,293.15,293.15,302.3435014,293.15,303.0693022,302.3435014,302.3435014,303.0693022
0.2999740554,293.15,293.15,301.396001,293.15,302.6916708,301.396001,301.396001,302.6916708
0.3517179291,293.15,293.15,299.839162,293.15,301.8310783,299.839162,299.839162,301.8310783
0.420505472,293.15,293.15,297.8775134,293.15,300.2749311,297.8775134,297.8775134,300.2749311
0.4680000729,293.15,293.15,296.9652121,293.15,299.1719233,296.9652121,296.9652121,299.1719233
0.5601060123,293.15,293.15,295.7921531,293.15,297.4115443,295.7921531,295.7921531,297.4115443
0.6379550754,293.15,293.15,295.2278179,293.15,296.3337902,295.2278179,295.2278179,296.3337902
0.6883627752,293.15,293.15,295.2786135,293.15,295.8977093,295.2786135,295.2786135,295.8977093
0.6988887986,293.15,293.15,295.3238848,293.15,295.8380528,295.3238848,295.3238848,295.8380528
0.6999370847,293.15,293.15,295.3290857,293.15,295.8327181,295.3290857,295.3290857,295.8327181
0.6999913247,293.15,293.15,295.3293583,293.15,295.8324451,295.3293583,295.3293583,295.8324451
0.6999983841,293.15,293.15,295.3293938,293.15,295.8324096,295.3293938,295.3293938,295.8324096
0.6999997166,293.15,293.15,295.3294005,293.15,295.8324029,295.3294005,295.3294005,295.8324029
0.6999999506,293.15,293.15,295.3294017,293.15,295.8324017,295.3294017,295.3294017,295.8324017
0.6999999998,293.15,293.15,295.3294019,293.15,295.8324014,295.3294019,295.3294019,295.8324014
0.7,293.15,293.1500002,295.3294019,293.1499999,295.8324014,295.3294019,295.3294019,295.8324014
0.7,293.15,293.1499992,295.3294019,293.1500009,295.8324014,295.3294019,295.3294019,295.8324014
0.7,293.15,293.1500151,295.3294019,293.1500025,295.8324014,295.3294019,295.3294019,295.8324014
0.7,293.1500158,293.2787319,295.2031891,293.152521,295.8324014,295.3294019,295.3294019,295.8324014
0.7,295.3315954,295.3314659,293.1479335,295.3315929,295.8324014,295.3294019,295.3294019,295.8324014
0.7,295.3294001,295.3294002,293.1500017,295.3294001,295.8324014,295.3294019,295.3294019,295.8324014
0.7,295.3294019,295.3294019,293.15,295.3294019,295.8324014,295.3294019,295.3294019,295.8324014
0.7,295.3294019,295.3294019,293.15,295.3294019,295.8324014,295.3294019,295.3294019,295.8324014
0.7,295.329402,295.329402,293.15,295.329402,295.8324014,295.3294019,295.3294019,295.8324014
