time,heatCapacitor2.T_ref,heatCapacitor2.T_sim,heatCapacitor2.T_relerr,pipe2.T_ref,pipe2.T_sim,pipe2.T_relerr,pipe3.T_ref,pipe3.T_sim,pipe3.T_relerr
0,293.15,293.15,0,293.15,293.15,0,293.15,293.15,0
0.0005,293.1998755,293.1998754,2.54375e-10,293.1501244,293.1501246,6.63361e-10,293.1500002,293.1500001,2.71808e-10
0.001,293.249504,293.2495033,2.0562e-09,293.150495,293.1504967,5.31377e-09,293.1500015,293.1500008,2.15631e-09
0.0015,293.2988892,293.2988861,9.65278e-09,293.1511072,293.1511138,2.13775e-08,293.1500053,293.1500028,8.30348e-09
0.002,293.3480316,293.3480264,1.61702e-08,293.1519606,293.1519736,4.19899e-08,293.1500117,293.1500065,1.70214e-08
0.0025,293.3969398,293.3969264,4.1784e-08,293.153044,293.1530736,9.50151e-08,293.150024,293.1500127,3.69048e-08
0.003,293.4456123,293.4455887,7.39508e-08,293.1543597,293.1544113,1.6623e-07,293.1500415,293.1500218,6.41726e-08
0.0035,293.4940485,293.4940155,1.03349e-07,293.1559082,293.1559845,2.45538e-07,293.150064,293.1500345,9.62719e-08
0.004,293.5422484,293.5422092,1.22668e-07,293.1576897,293.1577908,3.25406e-07,293.1500915,293.1500513,1.31418e-07
0.0045,293.5902246,293.5901721,1.64073e-07,293.1596884,293.1598279,4.49002e-07,293.1501285,293.1500727,1.82512e-07
0.005,293.6379731,293.6379065,2.08251e-07,293.1619091,293.1620935,5.93339e-07,293.1501736,293.1500992,2.43322e-07
0.0055,293.6854917,293.6854147,2.40689e-07,293.1643548,293.1645852,7.41583e-07,293.1502259,293.1501313,3.09412e-07
0.006,293.7327803,293.7326989,2.54348e-07,293.1670256,293.167301,8.86484e-07,293.1502856,293.1501696,3.79131e-07
0.0065,293.7798648,293.7797614,3.22995e-07,293.1698891,293.1702384,1.12443e-06,293.1503613,293.1502146,4.79779e-07
0.007,293.8267426,293.8266044,4.31827e-07,293.1729486,293.1733954,1.43817e-06,293.1504523,293.1502667,6.06941e-07
0.0075,293.8734055,293.87323,5.48271e-07,293.1762144,293.1767698,1.78765e-06,293.1505557,293.1503264,7.4985e-07
0.008,293.9198535,293.9196405,6.65565e-07,293.1796864,293.1803593,2.16591e-06,293.1506716,293.1503942,9.06989e-07
0.0085,293.9660866,293.9658379,7.77013e-07,293.1833646,293.1841618,2.56605e-06,293.1507998,293.1504705,1.07688e-06
0.009,294.0121047,294.0118244,8.7599e-07,293.187249,293.1881752,2.98124e-06,293.1509405,293.1505558,1.25806e-06
0.0095,294.057908,294.0576021,9.55939e-07,293.1913397,293.1923975,3.40472e-06,293.1510936,293.1506505,1.44913e-06
0.01,294.1034964,294.1031731,1.01037e-06,293.1956366,293.1968265,3.82983e-06,293.1512591,293.150755,1.64871e-06
0.0105,294.1488917,294.1485394,1.10114e-06,293.2001126,293.2014601,4.33734e-06,293.1514442,293.1508697,1.8787e-06
0.011,294.1940995,294.193703,1.23929e-06,293.2047607,293.2062964,4.943e-06,293.1516506,293.1509951,2.14373e-06
0.0115,294.2391021,294.2386651,1.36562e-06,293.2096031,293.2113342,5.57191e-06,293.1518726,293.151131,2.42531e-06
0.012,294.2838993,294.2834289,1.47023e-06,293.2146398,293.2165703,6.21387e-06,293.1521101,293.1512785,2.71978e-06
0.0125,294.3284913,294.3279963,1.5471e-06,293.2198708,293.2220028,6.86268e-06,293.1523632,293.151438,3.026e-06
0.013,294.372878,294.3723692,1.59025e-06,293.225296,293.2276298,7.51219e-06,293.1526319,293.1516097,3.34287e-06
0.0135,294.4170595,294.4165495,1.59377e-06,293.2309154,293.2334494,8.15629e-06,293.1529161,293.1517941,3.66929e-06
0.014,294.461045,294.4605391,1.58105e-06,293.2367175,293.2394597,8.82637e-06,293.1532188,293.1519915,4.01383e-06
0.0145,294.5048783,294.5043398,1.68278e-06,293.2426481,293.2456589,9.69099e-06,293.1535538,293.1522021,4.42038e-06
0.015,294.5485206,294.5479535,1.77227e-06,293.248755,293.252045,1.05896e-05,293.1539088,293.1524264,4.8481e-06
0.0155,294.5919721,294.5913821,1.84377e-06,293.2550384,293.2586163,1.15162e-05,293.1542839,293.1526646,5.29595e-06
0.016,294.6352326,294.6346273,1.89159e-06,293.2614983,293.2653709,1.2465e-05,293.1546791,293.152917,5.76295e-06
0.0165,294.6783022,294.677691,1.91011e-06,293.2681345,293.272307,1.34302e-05,293.1550944,293.1531839,6.2481e-06
0.017,294.7211809,294.7205749,1.89372e-06,293.2749472,293.2794229,1.44061e-05,293.1555298,293.1534656,6.75046e-06
0.0175,294.7638687,294.7632809,1.83688e-06,293.2819364,293.2867168,1.53868e-05,293.1559852,293.1537625,7.26907e-06
