time,pump.flowPort_a.h,convection1.solid.T,pump.flowPort_b.h,prescribedHeatFlow2.port.T,pipe1.flowPort_b.h,ambient2.flowPort.h,pump.h,pipe1.V_flow,pipe1.T_q,pipe3.T,pipe2.T,heatCapacitor1.T,pipe1.T,heatCapacitor2.T
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15,0.4841505034,293.15,293.15,293.15,293.15,293.15,293.15
1e-06,293.15,293.15005,293.15,293.1501,293.15,293.15,293.15,0.4841505006,293.15,293.15,293.15,293.15005,293.15,293.1501
2.392891552e-05,293.15,293.1511963,293.15,293.1523926,293.1500002,293.15,293.15,0.4841505006,293.1500001,293.15,293.1500003,293.1511963,293.1500001,293.1523926
0.0002532180708,293.15,293.1626449,293.15,293.1752898,293.1500242,293.15,293.15,0.4841505006,293.150016,293.15,293.150032,293.1626449,293.150016,293.1752898
0.002546109623,293.15,293.2757119,293.15,293.4014239,293.1524052,293.1500204,293.15,0.4841505006,293.151587,293.1500204,293.1531731,293.2757119,293.151587,293.4014239
0.01895298627,293.15,294.0180836,293.15,294.886153,293.2667421,293.1573046,293.15,0.4841505006,293.227116,293.1573046,293.303933,294.0180836,293.227116,294.886153
0.04884814276,293.15,295.1468564,293.15,297.1432414,293.7696499,293.2477467,293.15,0.4841505006,293.5601081,293.2477467,293.9663153,295.1468564,293.5601081,297.1432414
0.08724546253,293.15,296.3343471,293.15,299.5152745,294.6757063,293.5635322,293.15,0.4841505006,294.1620122,293.5635322,295.1578338,296.3343471,294.1620122,299.5152745
0.1390676528,293.15,297.6726227,293.15,302.1807425,296.0065014,294.3054133,293.15,0.4841505006,295.0497399,294.3054133,296.9044699,297.6726227,295.0497399,302.1807425
0.2075482003,293.15,299.1636845,293.15,305.1336525,297.6694728,295.615207,293.15,0.4841505006,296.164836,295.615207,299.0816496,299.1636845,296.164836,305.1336525
0.3020876889,293.15,300.8690787,293.15,308.4804799,299.6368218,297.5857218,293.15,0.4841505006,297.4929221,297.5857218,301.6489787,300.8690787,297.4929221,308.4804799
0.4314636136,293.15,302.7036796,293.15,312.033971,301.7534788,300.0388044,293.15,0.4841505006,298.9346801,300.0388044,304.3990622,302.7036796,298.9346801,312.033971
0.5988254549,293.15,304.4363321,293.15,315.331631,303.7313855,302.4964281,293.15,0.4841505006,300.2978511,302.4964281,306.9539289,304.4363321,300.2978511,315.331631
0.8306776022,293.15,306.0123222,293.15,318.2617465,305.5028427,304.7538036,293.15,0.4841505006,301.5378504,304.7538036,309.2241857,306.0123222,301.5378504,318.2617465
1,293.15,306.7592518,293.15,319.6166712,306.3289112,305.8128415,293.15,0.4841505006,302.1255405,305.8128415,310.2739845,306.7592518,302.1255405,319.6166712
