time,convection.solid.T,pump.flowPort_a.h,pipe.flowPort_a.h,pipe.flowPort_b.h,pump.h,pipe.T_q,heatCapacitor.T,pipe.T
0,293.15,293.15,293.15,293.15,293.15,293.15,293.15,293.15
1e-06,293.1501,293.15,293.15,293.15,293.15,293.15,293.1501,293.15
0.0001118754017,293.1611813,293.15,293.15,293.1500063,293.15,293.1500063,293.1611813,293.1500063
0.001220629419,293.271324,293.15,293.15,293.1507359,293.15,293.1507359,293.271324,293.1507359
0.01230816959,294.3108376,293.15,293.15,293.2171407,293.15,293.2171407,294.3108376,293.2171407
0.03649887755,296.2649434,293.15,293.15,293.6223773,293.15,293.6223773,296.2649434,293.6223773
0.06885141493,298.4125185,293.15,293.15,294.4309586,293.15,294.4309586,298.4125185,294.4309586
0.1116797161,300.7276198,293.15,293.15,295.5993831,293.15,295.5993831,300.7276198,295.5993831
0.1684628376,303.1826117,293.15,293.15,297.0184982,293.15,297.0184982,303.1826117,297.0184982
0.2455592285,305.7570406,293.15,293.15,298.7462475,293.15,298.7462475,305.7570406,298.7462475
0.2857202793,306.9470057,293.15,293.15,299.916729,293.15,299.916729,306.9470057,299.916729
0.3671960449,309.541472,293.15,293.15,303.0877727,293.15,303.0877727,309.541472,303.0877727
0.4276660398,311.9643598,293.15,293.15,306.4147294,293.15,306.4147294,311.9643598,306.4147294
0.4881360347,314.7950431,293.15,293.15,306.4147294,293.15,309.6310456,314.7950431,309.6310456
0.6016545344,320.4409261,293.15,293.15,306.4147294,293.15,315.5391838,320.4409261,315.5391838
0.6017302186,320.4447845,293.15,293.15,315.5459934,293.15,315.5427504,320.4447845,315.5427504
0.6018059028,320.4486428,293.15,293.15,315.5463097,293.15,315.5463107,320.4486428,315.5463107
0.6020162883,320.4593666,293.15,293.15,315.5561751,293.15,315.556175,320.4593666,315.556175
0.602720242,320.4952348,293.15,293.15,315.5888331,293.15,315.5888331,320.4952348,315.5888331
0.6056423601,320.6438232,293.15,293.15,315.7187036,293.15,315.7187036,320.6438232,315.7187036
0.6141405804,321.0712856,293.15,293.15,316.0453901,293.15,316.0453961,321.0712856,316.0453961
0.6269339306,321.691989,293.15,293.15,316.4005737,293.15,316.4005014,321.691989,316.4005014
0.6404314722,322.3016874,293.15,293.15,316.6091166,293.15,316.6091946,322.3016874,316.6091946
0.6570284847,322.9667379,293.15,293.15,316.6535336,293.15,316.6534941,322.9667379,316.6534941
0.6799823401,323.699647,293.15,293.15,316.3771357,293.15,316.3771542,323.699647,316.3771542
0.7122590817,324.3165036,293.15,293.15,315.4535406,293.15,315.4535318,324.3165036,315.4535318
0.7565165895,324.3645606,293.15,293.15,313.4912253,293.15,313.4912291,324.3645606,313.4912291
0.8118646027,323.3141699,293.15,293.15,310.5846337,293.15,310.5846332,323.3141699,310.5846332
0.8475345808,322.2667859,293.15,293.15,309.2375892,293.15,309.2375892,322.2667859,309.2375892
0.9225568603,320.1189932,293.15,293.15,307.5206291,293.15,307.5206291,320.1189932,307.5206291
0.9975791398,318.3999692,293.15,293.15,306.4035738,293.15,306.4035738,318.3999692,306.4035738
1.114574904,316.5103405,293.15,293.15,305.2272174,293.15,305.2272174,316.5103405,305.2272174
1.278659764,314.9456155,293.15,293.15,304.259756,293.15,304.259756,314.9456155,304.259756
1.514085718,313.8805945,293.15,293.15,303.6015322,293.15,303.6015322,313.8805945,303.6015322
1.800012578,313.3951128,293.15,293.15,303.3014881,293.15,303.3014881,313.3951128,303.3014881
2,313.2641867,293.15,293.15,303.2205713,293.15,303.2205713,313.2641867,303.2205713
