time,openTank2.H_ref,openTank2.H_sim,openTank2.H_relerr
0,29.315,293.15,1.71028
0.0003,29.46522186,293.2454845,1.70992
0.0006,29.61526362,293.3399484,1.70956
0.0009,29.76512551,293.4334068,1.7092
0.0012,29.91480794,293.5258823,1.70883
0.0015,30.06431107,293.6173864,1.70845
0.0018,30.2136348,293.7079274,1.70807
0.0021,30.36277998,293.7975194,1.70768
0.0024,30.51174746,293.8861819,1.70729
0.0027,30.66053652,293.9739404,1.7069
0.003,30.80914716,294.0607973,1.7065
0.0033,30.95757937,294.1467749,1.70609
0.0036,31.10583317,294.2318921,1.70568
0.0039,31.25390855,294.3161483,1.70527
0.0042,31.40180878,294.3995474,1.70485
0.0045,31.54953178,294.4820981,1.70443
0.0048,31.6970773,294.5638138,1.704
0.0051,31.84444535,294.6447124,1.70357
0.0054,31.99163593,294.7248169,1.70313
0.0057,32.13864904,294.8041544,1.7027
0.006,32.28548644,294.8827573,1.70225
0.0063,32.43215009,294.9605698,1.70181
0.0066,32.57863758,295.0376301,1.70136
0.0069,32.72494893,295.1139673,1.7009
0.0072,32.87108412,295.1895776,1.70045
0.0075,33.01704315,295.2644608,1.69999
0.0078,33.16282604,295.33862,1.69952
0.0081,33.30843702,295.4120621,1.69905
0.0084,33.45387385,295.4847976,1.69858
0.0087,33.59913589,295.5568403,1.69811
0.009,33.74422313,295.6282077,1.69763
0.0093,33.88913556,295.6989209,1.69715
0.0096,34.0338732,295.7690046,1.69667
0.0099,34.17843695,295.8384869,1.69618
0.0102,34.32282877,295.9073575,1.69569
0.0105,34.46704729,295.9755237,1.6952
0.0108,34.61109269,296.0431094,1.6947
0.0111,34.75496516,296.1101066,1.6942
0.0114,34.89866489,296.17651,1.6937
0.0117,35.04219208,296.2423166,1.6932
0.012,35.1855469,296.307526,1.69269
0.0123,35.32872956,296.3721404,1.69218
0.0126,35.47174024,296.4361644,1.69167
0.0129,35.61457913,296.4996051,1.69115
0.0132,35.75724641,296.5624723,1.69064
0.0135,35.89974229,296.6247782,1.69012
0.0138,36.04206718,296.6865374,1.68959
0.0141,36.1842219,296.7477672,1.68907
0.0144,36.32620605,296.8084875,1.68854
0.0147,36.46801983,296.8687204,1.68801
0.015,36.60966345,296.9284907,1.68748
0.0153,36.75113712,296.9878259,1.68695
0.0156,36.89244107,297.0465467,1.68642
0.0159,37.03357548,297.1047569,1.68588
0.0162,37.17454059,297.1625133,1.68534
0.0165,37.3153366,297.2198088,1.6848
0.0168,37.45596371,297.2766381,1.68425
0.0171,37.59642215,297.3329975,1.68371
0.0174,37.73671213,297.3888848,1.68316
0.0177,37.87683382,297.4442997,1.68261
0.018,38.01678735,297.4992437,1.68206
0.0183,38.156573,297.5537197,1.68151
0.0186,38.296191,297.6077324,1.68095
0.0189,38.43564155,297.6612883,1.6804
0.0192,38.57492487,297.7143954,1.67984
0.0195,38.71404115,297.7670635,1.67928
0.0198,38.85299062,297.8193041,1.67872
0.0201,38.99177347,297.8711303,1.67815
0.0204,39.13038992,297.922557,1.67759
0.0207,39.26884018,297.9736006,1.67702
0.021,39.40712445,298.0242795,1.67645
0.0213,39.54524294,298.0746135,1.67588
0.0216,39.68319582,298.1246242,1.67531
0.0219,39.82098272,298.1742289,1.67474
0.0222,39.95860432,298.2232991,1.67417
0.0225,40.09606083,298.2720319,1.67359
0.0228,40.23335243,298.3204207,1.67302
0.0231,40.37047933,298.3684596,1.67244
0.0234,40.50744174,298.4161438,1.67186
0.0237,40.64423984,298.4634698,1.67128
0.024,40.78087383,298.5104348,1.6707
0.0243,40.91734392,298.5570374,1.67012
0.0246,41.0536503,298.6032771,1.66953
0.0249,41.18979317,298.6491544,1.66895
0.0252,41.32577273,298.6946708,1.66836
0.0255,41.46158919,298.7398292,1.66777
0.0258,41.59724272,298.7846333,1.66718
0.0261,41.73273355,298.8290877,1.66659
0.0264,41.86806185,298.8731984,1.666
0.0267,42.00322784,298.9169723,1.66541
0.027,42.13823171,298.9604174,1.66482
0.0273,42.27307366,299.0035426,1.66422
0.0276,42.40775389,299.046358,1.66363
0.0279,42.5422726,299.0888748,1.66303
0.0282,42.67662998,299.1311051,1.66243
0.0285,42.81082623,299.1730622,1.66184
0.0288,42.94486156,299.2147605,1.66124
0.0291,43.07873616,299.2562152,1.66064
0.0294,43.21245023,299.2974428,1.66004
0.0297,43.3460037,299.3384302,1.65944
0.03,43.47939699,299.3788687,1.65884
0.0303,43.6126303,299.4190632,1.65823
0.0306,43.74570384,299.4590083,1.65763
0.0309,43.8786178,299.4986991,1.65702
0.0312,44.01137238,299.5381315,1.65642
0.0315,44.14396777,299.5773018,1.65581
0.0318,44.27640418,299.6162071,1.65521
0.0321,44.4086818,299.654845,1.6546
0.0324,44.54080083,299.6932139,1.65399
0.0327,44.67276146,299.7313127,1.65338
0.033,44.80456389,299.7691409,1.65278
0.0333,44.93620833,299.8066986,1.65217
0.0336,45.06769495,299.8439868,1.65156
0.0339,45.19902397,299.8810069,1.65094
0.0342,45.33019558,299.9177608,1.65033
0.0345,45.46120997,299.9542513,1.64972
0.0348,45.59206735,299.9904818,1.64911
0.0351,45.72276791,300.0264561,1.64849
0.0354,45.85331184,300.0621789,1.64788
0.0357,45.98369935,300.0976554,1.64726
0.036,46.11393064,300.1328913,1.64665
0.0363,46.24400519,300.1678932,1.64603
0.0366,46.37392326,300.2026681,1.64541
0.0369,46.50368553,300.2372238,1.6448
0.0372,46.63329219,300.2715686,1.64418
0.0375,46.76274343,300.3057115,1.64356
0.0378,46.89203944,300.3396621,1.64294
0.0381,47.02118041,300.3734306,1.64232
0.0384,47.15016653,300.4070279,1.64171
0.0387,47.27899799,300.4404654,1.64109
0.039,47.40767499,300.4737553,1.64047
0.0393,47.5361977,300.506718,1.63985
0.0396,47.66456633,300.5393367,1.63923
0.0399,47.79278107,300.5717803,1.63861
0.0402,47.9208421,300.6040451,1.63799
0.0405,48.04874961,300.6361278,1.63737
0.0408,48.1765038,300.6680253,1.63674
0.0411,48.30410485,300.699735,1.63612
0.0414,48.43155297,300.7312545,1.6355
0.0417,48.55884832,300.7625819,1.63488
0.042,48.68599112,300.7937157,1.63426
0.0423,48.81298154,300.8246544,1.63363
0.0426,48.93981978,300.8553973,1.63301
0.0429,49.06650582,300.8859437,1.63239
0.0432,49.1930392,300.9162935,1.63176
0.0435,49.31942082,300.9464468,1.63114
0.0438,49.44565088,300.9764041,1.63052
0.0441,49.57172956,301.0061664,1.62989
